APRIL	Lambamai; 
bridge	buroho;  boroho; 
bridging	buroho;  boroho; 
brief	-pfufhi; 
briefed	nyeṱulela; pfufhi; 
briefly	nga u pfufhifhadza; 
briefs	nyeṱulela; pfufhi; 
bring	ḓera; ḓisa; 
bringing	ḓera; ḓisa; 
brings	ḓera; ḓisa; 
broad	-baphathi; 
broad-based	ṱanḓavhuwaho; angalalaho; 
broadband	zwirathisi zwo angalalaho; 
broadcast	khasho;  -hasha; 
broadcaster	muanḓadzi; 
broadcasters	vhahashi; 
broadcasting	vhuanḓadzi; 
broaden	aṱamisa; 
broadening	aṱamisa; 
broader	baphathi; 
broadly	aṱamisa; 
brochure	tshivhambadzi; 
brochures	tshivhambadzi; 
brother	khaladzi;  mukomana; 
brothers	 vhakomana; khaladzi; 
brought	ḓisa; 
brutal	zwa tshiṱuhu; 
brutality	tshiṱuhu; 
budget	 -gaganya; mugaganyagwama; 
budgetary	masheleni; mugaganyagwama; 
budgeted	 gaganya; mugaganyagwama; 
budgeting	 gaganya; mugaganyagwama; 
budgets	 gaganya; mugaganyagwama; 
build	fhaṱa; 
build-up	 gonya, bveledza; engedza;  ṱuṱuwedza; 
building	tshifhaṱo; 
buildings	tshifhaṱo; 
built	fhaṱa; 
bulk	vhunzhi; zwihuulwane;  tshivhumbeo;  tshileme; 
bureau	ofisi;  birou; 
buried	vhulungwa; 
burning	 fhisa; phise;  duga; swa; 
bursaries	bazari; 
bursary	bazari; 
bury	-vhulunga; 
bus	bisi; 
business	bindu;  makwevho; 
businesses	bindu;  makwevho; 
busy	kakatika;  mishumoshumo; kakarika; 
but	 matsina;  hafhu;  fhedzi; hone; 
buy	 -renga; renga; 
by	nga; 
cabinet	khoro;  khabinethe; 
calculate	-rekanya; 
calculated	-rekanya; 
calculating	-rekanya; 
calculation	u shuma mbalo; 
calendar	khaḽenda; 
call	 rina dzina; vhidza;  vhidzelela; 
called	vhidzwa; 
calling	mbidzo; 
calls	 rina dzina; vhidza;  vhidzelela; 
came	 kuvhangana;  ḓa;  sendela;  swika; bva;  dzhena; 
camp	 -gammba; gammba; 
campaign	fulo;  u bva fulo; 
campaigns	 bva fulo; fulo; fulofulu; 
camps	gammba; 
campus	khamphasi; 
campuses	khamphasi; 
can't	nga si; 
cancel	-swaya; 
cancellation	 ladza;  khantsela;  funga;  swaya;  thutha;  phumula; fhedza; 
cancelled	swaya; 
cancer	 pfuko; khentsa; 
candidate	 mulingiwa; nkhetheni; 
candidates	 mulingiwa; nkhetheni; 
cannot	nga si; 
cant	nga si; 
cap	gebisi; 
capabilities	vhukoni;  maanḓa o fanelaho; 
capability	vhukoni; 
capable	konaho; 
capacities	nḓadzo; 
capacity	nḓadzo; 
capacity-building	fhaṱavhukoni; 
cape	luvhombo; 
capita	tshelede; 
capital	 pfuma; tshelede;  musanda; 
caps	gebisi; tamba kha thimu ya lushaka; 
capture	thuba;  u dzhia nga khani; 
captured	thuba;  dzhia nga khani; ganḓisa; 
captures	thuba;  dzhia nga khani; ganḓisa; 
car	goloi; 
carbon	khaboni; 
cards	garaṱa; 
care	 -londola; ndondolo; 
career	buḓo; 
careers	buḓo; 
carefully	ṱhogomela; vhulondo; 
cargo	muhwalo;  furaha; 
caring	 londola; ndondolo; 
carnival	bepha; 
carpet	khaphethe; 
carried	ingara;  beba; hwala;  takula; 
carries	ingara;  beba; hwala;  takula; 
carry	ingara;  beba; hwala;  takula; 
carrying	-wedza; 
case	mulandu; 
cases	mulandu; 
cash	kheshe; 
cast	maitele;  vhumba;  ḓuvhudza;  pfula; 
catalogue	khathalogo; 
catalyst	tshiṱuṱuwedzi; 
catch	khakhedza; 
categories	khethekanyo; 
category	khethekanyo; 
cater	 ḓisedzwa; dzudzanya;  kovhela;  lugisela;  lugisa; 
catering	khethariṅi; 
cattle	kholomo; 
caucus	 tsivhudzo; ḽigi; thendelano;  mulanga;  mbumbano, tshigwada; 
cause	tshivhangi; 
caused	tshivhangi; 
causes	tshivhangi; 
causing	tshivhangi; 
cave	bako; 
caves	bako; 
cease	 ṱutshela; litsha; 
ceases	 ṱutshela; litsha; 
celebrate	pembela;  u pembela; 
celebrated	pembela; 
celebrates	pembela; 
celebrating	pembela; 
celebration	tshimima; 
celebrations	tshimima; 
cell	tsiki; 
cells	tsiki; sele; 
cellular	luṱingokhwalwa; selefounu; luṱingothendeleki; 
census	mbalavhathu;  muvhalo; 
censuses	mbalavhathu;  muvhalo; 
cent	peni; 
centenary	 anivesari; ḓuvha ḽa mabebo; pembelela; 
center	vhukati;  senthara;  vhukati kwa; 
central	-vhukati; 
centre	vhukati;  senthara;  vhukati kwa; 
centres	vhukati;  senthara;  vhukati kwa; 
centuries	 ḓana; sentshari; ḓaṅwaha; 
century	sentshari; 
ceremonial	vhuṱambo; 
ceremonies	vhuṱambo; 
ceremony	vhuṱambo; 
certainly	vhuṱanzi;  ngoho; 
certainty	vhuṱanzi;  ngoho; 
certificate	ṱhanziela; 
certificates	ṱhanziela; 
certification	khwaṱhisedzo; 
cession	kumedzela;  ṋetshedza;  ṱovhowa; 
chain	tshaini; 
chair	tshidulo; 
chaired	tshidulo; 
chairman	mudzulatshidulo; 
chairperson	mudzulatshidulo; 
chairpersons	mudzulatshidulo; 
challenge	khaedu;  u lwela; 
challenged	khaedu;  lwela; 
challenges	khaedu;  lwela; 
challenging	khaedu;  lwela; 
chamber	nnḓu; 
chambers	 nnḓu; phera; 
champions	ngweṋa; 
championship	vhungweṋa; 
championships	vhugweṋa; 
chance	 khonadzeo; tshikhala; 
change	 tshintshi; tshanduko;  -shandukisa;  shanduka; 
changed	 tshintshi; tshanduko;  shandukisa;  shanduka; 
changes	 tshintshi; tshanduko;  shandukisa;  shanduka; 
changing	 tshintshi; tshanduko;  shandukisa;  shanduka; 
channel	 -sumbanḓila;  mulonga; tshanele; 
channels	 mulonga; tshanele;  sumbanḓila; 
chapter	ndima; 
chapters	ndima; 
character	 mubvumbedzwa;  vhunzani; mutambi; 
characterised	vumbedza; 
characteristic	 ṱalulaho; mbonalo; 
characteristics	mbonaleo;  ṱalulaho; mbonalo; 
characterize	-vumbedza; 
characterized	vumbedza; 
characters	bvumbo; vhatambi;  vhunzani;  vhabvumbedzwa; 
charge	 mutengo;  -hwesa mulandu; mulandu; 
charged	-tshadzhiwaho; 
charges	milandu;  mitengo;  hwesa milandu; 
chartered	thendelonzwiwa; 
checked	nyokolodzo; 
cheque	tsheke; 
chief	khosi; 
child	ṅwana; 
childhood	vhuhana; 
children	vhana; 
children's	vhana; 
china	China; 
choice	khetho; 
choices	khetho; 
choir	khwairi; 
choral	-khwairi; 
chose	nanga; 
chosen	nanga; 
chronic	goḓombela; 
church	kereke; 
churches	kereke; 
cinema	baisikoponi;  baisikopo; 
cinemas	baisikoponi;  baisikopo; 
circumstances	maimele; 
cited	dagafala; 
cities	ḓorobo khulwane;  ḓorobo; 
citizen	mudzulapo; 
citizenry	 mudzuli; mudzulapo; 
citizens	vhadzulapo; 
citizenship	vhudzulapo; 
city	ḓorobo khulwane;  ḓorobo; 
civic	 siviki; vhadzulapo; 
civil	wapo; 
civilian	mudzulapo a si muraḓo wa tshipholisa;  muthufhedzi; 
claim	mbilo;  -vhila; 
claimed	mbilo;  vhila; vhilwa; 
claims	mbilo;  vhila; 
clarification	bviselakhagala; 
clarify	 dzika; bviselakhagala; ṱalutshedza; 
clarion	porompiṱa; 
class	 lushaka lwa dzina; tshigwada;  kilasi; 
classes	 lushaka lwa dzina; zwigwada;  kiḽasi; 
classic	kiḽasiki; 
classical	-kiḽasiki; 
classics	kiḽasiki; 
classification	khethekanyo;  mukhethekanyo; 
classified	-khethekanywaho; 
clause	davhi; 
clauses	davhi; 
clean	-si na tshika;  u kuna; 
cleaning	kuna;  si na tshika; 
clear	 -vhonadzaho; -phumula;  ḽo tsha;  u tsha;  -vhonalaho; 
clearance	thendelo;  tendela;  laedzwa; 
clearing	 tshenisa;  haḓa; ḓekulula;  hwivha; nakisa; 
clearly	pfalaho; vhonadzho; 
clerk	mabalane; 
click	puṱedza;  tsaṅwa; 
client	khasitama;  murengi; 
clients	khasiṱama; murengi; 
climate	kilima; 
clinic	kiḽiniki;  ngalafhoni; 
clinical	kiḽinikhaḽa; 
clinics	kiḽinikiḽ; kiḽiniki;  ngalafhoni; 
close	tsini;  biko; 
closed	-valeaho; 
closely	tsini; 
closer	tsini;  biko; 
closing	tsini;  biko; 
closure	mvalo; 
closures	mvalo; 
clothing	zwiambaro; 
club	kiḽabu; 
clubs	kiḽabu; kiḽaba; 
cluster	tshigwada; 
co-operation	vhuanḓani; 
co-operative	-vhuanḓani; 
co-ordinate	-pfananya; 
co-ordination	pfananyo; 
co-production	nḓisedzo ya zwibveledzwa; 
coach	 ṱorokisi;  gariki; mugudisi;  basi; 
coal	malasha; 
coast	phendelashango; 
coastal	phendelashango; 
coat	 -pennda; mukumba; 
code	khoudu;  mbulatshiga; 
codes	khoudu;  mbulatshiga; 
coherent	tevhekana; ṱhanḓulukano; 
cohesion	tevhekana;  khwaṱha;  dzudzana; 
cohesive	tevhekana;  khwaṱha;  dzudzana; 
cold	 duda;  u rothola;  hu a rothola; phepho;  murotho;  -rothola; 
collaborate	tshumisano; 
collaboration	tshumisano; 
collaborative	tshumisano; 
collapse	 -wa; wa; 
colleagues	vhashumisani; 
collect	 -khuvhela;  -kuvhanganya; kuvhanganya; 
collected	 khuvhela; kuvhanganya; 
collecting	 khuvhela; kuvhanganya; 
collection	 khuvhanganyo;  khotha;  zwifhiwa;  mitendelo; dzhia; 
collections	 khuvhanganyo;  khotha;  zwifhiwa;  mitendelo; dzhia; 
collective	 ṱangana;  ṱanganela; tshigwada; 
collectively	 ṱangana;  ṱanganela; tshigwada; 
college	khoḽidzhi; 
colleges	khoḽidzhi; 
colloquium	thuthoriaḽa;  therisano dza tshigwada; kiḽasi; 
colonial	-koloni; 
colonies	koḽoni;  vhukoḽoni; 
colony	koloni; 
colour	muvhala; 
coloured	-muvhala; 
colours	muvhala; 
column	 mushinzhi;  muingekano; lutsinga;  phuphu; 
combat	kunda; 
combating	kunda; 
combination	ṱhangano; 
combined	-tshikate; 
come	 kuvhangana;  ḓa;  sendela;  swika; bva;  dzhena; 
comes	 kuvhangana;  ḓa;  sendela;  swika; bva;  dzhena; 
coming	 kuvhangana;  ḓa;  sendela;  swika; bva;  dzhena; 
comma	khoma; 
command	ndaela;  ndaelo; 
commas	khoma; 
commemorate	u humbula; 
commemorating	humbula; 
commemoration	tshihumbudzo; 
commemorative	tshihumbudzo; 
commence	 simula;  ranga; thoma; 
commenced	 simula;  ranga; thoma; 
commencement	 mathomo; ranga; thoma; 
commencing	 simula;  ranga; thoma; 
commend	 khoḓa;  bvumisa; renda; 
commendable	 khoḓa;  bvumisa; renda; 
commensurate	 elana;  lingana;  fana; tea; 
comment	muhumbulo; 
comments	muhumbulo; 
commercial	 vhuvhambadzi; khungedzelo; 
commission	khomishini; 
commissioned	khomishini; 
commissioner	 muanisi; khomishinari; 
commissioners	vhaanisi;  vhakhomishinari; 
commissions	khomishini; 
commit	 vuledza; ita;  kumedzela;  phetha; 
commitment	vhuḓikumedzeli; 
commitments	vhuḓikumedzeli; 
commits	 vuledza; ita;  kumedzela;  phetha; 
committed	 vuledza; ita;  kumedzela;  phetha; 
committee	 khorwana; komiti; 
committee's	 khorwana; komiti; 
committees	 khorwana; komiti; 
committing	 vuledza; ita;  kumedzela;  phetha; 
commodities	tshivhambadzwa; 
commodity	tshivhambadzwa; 
common	kate;  ḓowelea; 
commonly	kate;  ḓowelea; 
commonwealth	mulanganelo; 
communal	vhoṱhe; 
communicate	u davhidzana; 
communicated	davhidzana; 
communication	 vhudavhidzano; vhudavhidzani; 
communication-related	zwa vhudavhidzano; 
communications	vhudavhidzano; 
communities	 vhadzulapo; lushaka;  vhapo;  vhupo; 
community	 vhadzulapo; lushaka;  vhapo;  vhupo; 
community-based	zwa tshitshavha; 
companies	khamphani; 
company	khamphani; 
comparability	 linganyiswa;  fanyiswa;  fanyisedza; vhambedzwa; 
comparable	 linganyiswa;  fanyiswa;  fanyisedza; vhambedzwa; 
comparative	 linganyiswa;  fanyiswa;  fanyisedza; vhambedzwa; 
compare	-vhambedza; 
compared	vhambedza; 
comparison	mbambedzo; 
compassion	vhupfelavhuṱungu; 
compatriots	 muthu wa shango ḽa haṋu; mudzulapo; 
compelled	 ita nga maanḓa; kombetshedzea; 
compelling	 ita nga maanḓa; susumedza; kombetshedzea; 
compensate	 lifha;  lifhela; vhuisedzela;  linganyisa; ndinganyiso; 
compensation	 ndiliso; ndinganyiso; 
compete	 -pikisana; ṱaṱisana; 
competence	vhukoni; 
competencies	vhukoni; 
competency	vhukoni; 
competent	 vhukoni; kona; 
competition	muṱaṱisano; 
competitive	kwazwo;  tshavhuḓi; pfalaho;  ṱukufhadza; sa ḓuri; 
competitiveness	swikelelea;  kunga;  ṱukufhadza;  sa ḓuri; 
compilation	 khuvhanganyo; mbekanyo; 
compile	-kuvhanganya; 
compiled	kuvhanganya; 
complainant	 muvhilaeli; muhweleli; 
complaint	mbilaelo; 
complaints	mbilaelo; 
complement	thendelo; 
complementary	thendelo; 
complete	 -fhedza;  -fhelaho; fhedza; 
completed	 fhelaho; fhedza; 
completely	tshoṱhe;  zwoṱhe; 
completing	 fhelaho; fhedza; 
completion	 khunyeledza; fhedza; 
complexity	tserekano; 
compliance	tevhedza; 
complied	tevhedza; 
complies	tevhedza; 
comply	tevhedza; 
complying	tevhedza; 
component	tshipiḓa; 
components	zwipiḓa; tshiitaho; 
composed	sika; 
composition	 mbumbo;  vhusiki;  mbumbeo;  mbekanywa; maanea;  tshisikwa; 
comprehensive	kuṱalukanyele; kupfesesele; 
comprehensively	kuṱalukanyele; kupfesesele; 
comprise	kateka; vha na; 
comprises	kateka; vha na; 
comprising	kateka; vha na; 
compromise	 u pfesesana; pfesesa; 
compromised	pfesesa;  pfesesana; 
compulsory	-khombekhombe;  zwa khombekhombe; 
computer	khomphyutha;  khomphiyutha; 
computers	khomphyutha;  khomphiyutha; 
comrade	khonani nndwani; 
comrades	khonani nndwani; 
conceive	u pfukwa; 
conceived	pfukwa; 
concentrated	tsho dziaho; 
concentration	pfutelelo; 
concept	 muṱalukanyo; ipfi; 
concepts	 muṱalukanyo; ipfi; 
concern	malugana na;  nga ha; 
concerned	malugana na;  nga ha; 
concerning	malugana na;  nga ha; 
concerns	malugana na;  nga ha; 
concert	khontsati; 
conciliation	 pfumedzano; vhupfumedzani; 
conclude	u guma; 
concluded	guma; 
concludes	guma; 
conclusion	magumo; 
concrete	khonkhrithi; 
concurrence	thendelano; 
concurrent	thendelano; 
condemned	haṱula; ndaṱo; 
condemns	haṱula; ndaṱo; 
condition	 maimele;  vhulwadze; tshiimo; 
conditions	tshiimo; 
condolences	ndiliso; 
condom	khondomu; 
condoms	khondomu; 
conducive	 ṱuṱuwedzea;  takalela;  thusalea;  vhuelwa; funa; 
conduct	 -ḓifara;  vhuḓifari;  -rathisa; -laula; 
conducted	 ḓifara;  vhuḓifari; laula;  rathisa; 
conducting	 ḓifara;  vhuḓifari; laula;  rathisa; 
conducts	 ḓifara;  vhuḓifari; laula;  rathisa; 
confederations	 Feḓarasi; 
confer	vhudzisana;  ṋea; 
conference	khuvhangano; 
conferences	khuvhangano; 
conferred	vhudzisana;  ṋea; 
confidence	vhufulufheli; 
confident	fulufhela; 
confidential	 zwa tshiphiri; zwa tshidzumbe; 
confidentiality	tshiphiri; 
confirm	khwaṱhisedza; 
confirmation	khwaṱhisedzo; 
confirmed	 amba hafhu; khwaṱhisedza;  ṱanganedzwa; 
confirms	khwaṱhisedza; 
confiscation	mpalo; 
conflict	khuḓano; 
conflicts	khuḓano; 
confront	 livhana; ṱangana; 
congratulate	 khoḓa;  renda; takalela;  fhululedza; 
congratulates	 khoḓa;  renda; takalela;  fhululedza; 
congratulating	 khoḓa;  renda; takalela;  fhululedza; 
congratulations	 khoḓa;  renda; takalela;  fhululedza; 
congress	guvhangano; 
conjunction	ḽiṱanganyi; 
connect	 -ṱanganya; ṱanganya; 
connected	ṱhumanyo; ṱanganya;  ṱuma;  paṱekanya; 
connection	ṱhumano; 
conscience	luvalo; 
conscious	 dzivhuluwa; tshiḓipfaho;  ḓivha; ṱalukanya; 
consecutive	-tevhekanaho; 
consensus	thendelano;  thendelano nga huswi; 
consent	thendelo;  tendela; 
consequence	mvelelo; 
consequences	mvelelo; 
consequential	mvelelo; tshiḓiswaho nga mafhungo; 
consequently	ngauralo; 
conservation	ndondolo; 
conserve	 -bikela;  -tsireledza; -vhavhalela;  zwivhulungwa;  u londota; 
consider	 -sedza; sedza; 
considerable	tshuhulwanenyana;  sedzesa;  humbula; sedza; 
considerably	tshuhulwanenyana;  sedzesa;  humbula; sedza; 
consideration	 ngelelo; tshuhulwanenyana;  sedzesa;  humbula; sedza; 
considerations	ngelelo; tshuhulwanenyana; humbula;  sedzesa; sedza; 
considered	tshuhulwanenyana;  sedzesa;  humbula; sedza; 
considering	sedza; 
considers	sedza; 
consist	vha;  itwa nga; 
consistent	thevhekano; 
consistently	khwaṱhaho; nzio; 
consisting	katela;  vha na;  dzhenisa; 
consists	vha;  itwa nga; 
consolidate	pfumbisa; 
consolidated	pfumbiswaho; 
consolidation	pfumbiso; 
constant	-sa shanduki; 
constantly	sa fhidzi; 
constituency	vhukhethelo; 
constitute	-tsheṱa; 
constituted	tsheṱa; 
constitutes	tsheṱa; 
constitution	 ndayotewa; mulayotewa; 
constitutional	ndayotewa; 
constitutions	 ndayotewa; mulayotewa; 
constraint	tshiiledzi; 
constraints	tshiiledzi; 
construct	fhaṱa; 
constructed	fhaṱa; 
construction	mbumbo;  u fhaṱa; 
constructive	fhaṱa; 
construed	ṱalutshedza;  saukanya; 
consult	 -pfa muhumbulo; pfa muhumbulo; 
consultant	mueletshedzi; 
consultants	mueletshedzi; 
consultation	vhuvhudzisi; 
consultations	vhuvhudzisi; 
consultative	 pfa mihumbulo;  vhuvhudzisi; vhukwamani; 
consulted	pfa muhumbulo; 
consulting	pfa muhumbulo; 
consumables	tshifhedzea; 
consumer	murengi;  mufhedzi; 
consumers	murengi;  mufhedzi; 
consumption	tshumiso; 
contact	khwamano; 
contacts	khwamano; 
contain	-faredza; 
contained	faredza; 
container	 tshifaredzi; mudzio; 
containers	 tshifaredzi; mudzio; 
containing	faredza; 
contains	faredza; 
contemplated	sedza nga vhuronwane; 
contemporary	tsha musalauno; 
contempt	 sola; tshinyadzo; tsola; 
content	zwi re ngomu; 
contents	zwi re ngomu;  nḓadzo; 
context	nyimele; 
continent	dzhango; 
continental	dzhango; 
continents	dzhango; 
contingency	tshiwo tshine tsha nga bvelela; 
contingent	khonadzeo ya u bvelela; 
continuation	 ya phanḓa; isa phanḓa; 
continue	u ya phanḓa; 
continued	ya phanḓa; 
continues	ya phanḓa; 
continuing	ya phanḓa; 
continuous	ḽikhathi ḽa khou; 
continuously	sa tumuwiho; sa tumuwi; 
contract	thendelano;  -hwetekanya;  u hwetekana;  konṱiraka; 
contracted	 hwetekanya; thendelano;  hwetekana;  konṱiraka; 
contracting	 hwetekanya; thendelano;  hwetekana;  konṱiraka; 
contractors	rakhonṱhiraka; 
contracts	 hwetekanya; thendelano;  hwetekana;  konṱiraka; 
contractual	thendelano; 
contrary	fhambana;  sa pfana;  phambano;  pfuka; 
contrast	phambano;  -livhanya;  ndivhanyo; 
contravenes	fhambana;  sa pfana;  phambano;  pfuka; 
contravention	fhambana;  sa pfana;  phambano;  pfuka; 
contribute	mpho;  tshifhiwa;  shela mulenzhe;  kovha; 
contributed	mpho;  tshifhiwa;  shela mulenzhe;  kovha; 
contributes	mpho;  tshifhiwa;  shela mulenzhe;  kovha; 
contributing	mpho;  tshifhiwa;  shela mulenzhe;  kovha; 
contribution	mpho;  tshifhiwa;  shela mulenzhe;  kovha; 
contributions	mpho;  tshifhiwa;  shela mulenzhe;  kovha; 
contributor	muṋetshedzi;  mushelamulenzhe; mukovhi; 
contributors	vhakovhi;  vhaṋetshedzi; vhashelamulenzhe; 
control	ndaulo;  u laula;  ndango; 
controlled	ndaulo;  ndango;  laula; 
controlling	ndaulo;  ndango;  laula; 
controls	ndaulo;  ndango;  laula; 
convene	 ramba;  khuvhangano; kuvhanganya; 
convened	 ramba;  khuvhangano; kuvhanganya; 
convention	nzulele;  mulanga; 
conventional	maitele;  zwi re khagala;  zwo ḓoweleaho; 
conventions	nzulele;  mulanga; 
convergence	 nambatelana; ṱhangano; 
conversation	nyambedzano; 
conversations	nyambedzano; 
conversion	 -tshanduko; tshandukiso; 
convert	 u shandukisa; -shandukisa;  -rembuluwa; 
converted	shandukisa;  rembuluwa; 
convey	 fhirisa; tshimbidza; 
convicted	haṱulwa; 
conviction	u vhonwa mulandu; 
convinced	tendisea;  tendisa; 
cookie	makukisi; 
cooperation	tshumisano; 
cooperative	vhuanḓani; 
cooperatives	vhuanḓani; 
coordinate	 pfananya; konanya; 
coordinated	pfananya; 
coordinating	pfananya; 
coordination	pfananyo; 
cope	langea;  shumana na; 
copies	 kopa; khophi; kopi; 
copy	 -kopa;  kopa; khophi; 
core	mbilu; 
corner	khuḓa; 
cornerstone	thikho; 
corporation	 feme;  khamphani; bindu; 
corporations	 feme; khamphani;  mabindu; 
corps	 khamphani;  yuniti; tshigwada; 
correct	 -lulamisa;  -lugaho; lugaho; 
correction	ndulamiso; 
correctional	dzudzanya;  khakhululo;  lugisa;  ndulamiso; 
corrections	ndulamiso; 
corrective	-ndulamiso; 
correctly	-hone; 
correspondence	ṱanganya;  anḓana;  pfana;  ṅwalelana; 
corresponding	-pfana; 
corrupt	-tshinyadza; 
corruption	tshanḓanguvhoni; 
cost	 thengo; mutengo;  -vhea mutengo; 
cost-effective	mbambadzo;  ita tshelede;  vhuelwa; 
costs	 vhea mutengo;  thengo; mutengo; 
could	 valela zwitsimbini; khene; 
council	khoro; 
councillor	mukhantseḽara; 
councillors	vhakhantseḽara; 
councils	khoro; 
counsel	thuso;  ṱhuṱhuwedzo; ngeletshedzo; tsivhudzo; 
counselling	nyeletshedzo;  khuthadzo; 
count	-vhala; 
countdown	u vhala zwikhala nga u sielisana; 
counter	muvhali; 
counterclaim	mbilo ya u badela iṅwe mbilo; 
counterpart	lingana;  zwino elana; 
counterparts	lingana;  zwino elana; 
countries	shango; 
country	shango; 
country's	shango; 
countrywide	shangoḽoṱhe; 
couple	 zwivhili;  para;  tshivhili; lunzhi; ṱuma; 
coupled	 zwivhili;  para; ṱuma; tshivhili; 
coupon	khuphoni; 
courage	ṱhuṱhuwedzo; 
course	khoso;  ngavho; 
courses	khoso;  ngavho; 
court	khothe; 
court's	 khoro; khothe; 
courtesy	vhuhwavho; 
courts	khothe; 
cover	 fukedza: putela; dzumba;  fuka;  tibedza; 
coverage	vhonisi; vhiga; 
covered	 fukedza: putela; dzumba;  fuka;  tibedza; 
covering	 tshifukedzi;  luvhemba; putela; 
covers	 fukedza: putela; dzumba;  fuka;  tibedza; 
covet	-emula; 
coveted	emula; 
cradle	vhulalashie; 
craft	vhutsila;  vhutsila ha zwanḓa; 
crafter	muvhaḓi; 
crafters	vhavhaḓi; 
crafts	vhutsila;  vhutsila ha zwanḓa; 
crater	 mutwe; mala; lubuli, dzanyo; 
create	-sima; 
created	sima; 
creates	sima; 
creating	sima; 
creation	 mbumbo; tsiko; 
creative	-konaho u sika; 
creativity	vhusiki; 
creator	musiki; 
creators	vhasiki; 
credibility	fulufhedzea; 
credible	konadzea;  tendisea;  fulufhedzea; 
credit	khiredithi; 
creditor	mukolodwa; 
creditors	vhakolodwa; 
credits	khiredithi; 
creed	lutendo;  dokotirini; dogima;  pfunzothendwa; 
cricket	 tsenene; khirikhethe; 
crime	vhugevhenga; 
crimes	vhugevhenga; 
criminal	 mupfukamulayo; mutshinyi; 
