APRIL	DZIVAMISOKO; 
broadly	hi ku angarhela; 
brochure	broxara; 
brochures	tiburochara; 
brother	buti;  boti; 
brothers	vaboti; vamakwerhu; 
brought	tisile; 
brutal	tihanyi; 
brutality	tihanyi; 
budget	mpimanyeto;  bajeta;  kungu ra nkwama;  bajete; 
budgetary	swa mpimanyeto; 
budgeted	hlayisile mali; bajetile;  pimanyetile; 
budgeting	pimanyeta;  veka mali etlhelo;  bajeta;  pimanyetile; 
budgets	bajete;  bajeta;  pimanyeta; mipimanyeto; 
buffalo	nyarhi; 
build	aka; 
build-up	ndlandlamuko;  ntlhandlamano;  engetelo; 
building	yindlu;  muako; 
buildings	miako; 
built	akiwile; 
bulk	ntalo; 
burden	ndzhwalo; byarhisa;  rhwexa; 
bureau	hofisi; 
buried	lahliwile; 
burning	pfurha; 
bursaries	tibasari; 
bursary	basari; 
bury	lahla; 
bus	bazi; 
business	bindzu; 
businesses	mabindzu; 
bust	xifaniso xo vatliwa; 
busy	gingirika; 
but	kambe; 
buy	xava; 
by	hi; 
cabinet	khabinete;  huvo yo vaholobye; 
calculate	khakhuleta; 
calculated	khakhuletile; 
calculating	khakhuleta; 
calculation	nkhakhuleto; 
calendar	khalendara; 
call	vitana; 
called	vitaniwa; 
calling	ku vitaniwa hi Xikwembu; 
calls	vitana;  swirhambo; 
came	tile; 
camp	xaxa;  govela;  kampa;  gova;  nxaxa; 
campaign	pfhumba;  nyimpi;  lemukisa; 
campaigns	lemukisa; milemukiso;  mpfhumba;  mapfhumba; 
camps	tikamba;  tikamba;  mixaxa;  gova;  nxaxa;  tikampa; magovela; 
campus	kamba;  kampa; khamphasi; 
campuses	tikamba; tikhamphasi; 
can	 khena; kani;  khene; 
can't	nge koti; 
cancel	khansela;  khanesela; 
cancellation	ku herisiwa; 
cancelled	herisile; 
cancer	khensa;  mfukuzani; 
candidate	mukamberiwa;  muyimela-kulanghwa; 
candidates	vakamberiwa;  vayimelakulanghwa; 
cannot	nge koti; 
cant	nge koti; 
cap	kepisi;  xifundzo; 
capabilities	vuswikoti; 
capability	vuswikoti; 
capable	-swi kota; 
capacities	vundzeni; 
capacity	vundzeni; 
capacity-building	ku akiwa ka vuswikoti; 
cape	yinhla ya tiko; 
capita	hi munhu;  hi nhloko; 
capital	ntsengo;  ntsindza;  mali yo sungula; 
caps	mipimo yo hetelela; 
capture	khoma; 
captured	khomile; bvanyangetile;  khomile; 
captures	khoma; bvanganyeta;  khoma; 
car	movha; 
carbon	khaboni; 
card	kariti; 
cards	makhadi; 
care	hlayisa;  vuhlayiso;  ku hlayisa; 
career	ntirho;  ntirho-vutomi; 
careers	mitirhovutomi; 
careful	-vukheta; 
carefully	hi vukheta; 
cargo	ndzhwalo; 
caring	hlayisa;  hlayisaka; 
carpet	khapete;  tapita; 
carried	tekiwile; 
carries	rhwala; 
carry	rhwala; 
carrying	ku rhwala; 
case	mhaka;  nandzu; 
cases	timhaka;  milandzu; 
cash	mali;  khexe; 
cast	hlongola;  talanga;  cukumeta; 
catalogue	khatalogo; 
catalyst	xihatlisisi; 
catch	khoma; 
categories	mikhetekanyo; 
category	nkhetekanyo; 
cater	phamela; 
catering	vuphameri; 
cattle	tihomu; 
caucus	xihiri; 
cause	xivangelo; 
caused	vangile; 
causes	swivangelo; 
causing	vanga; 
cave	bako; 
caves	mabaku; 
cease	yima; 
ceases	yima; 
celebrate	tlangela;  -tlangela; 
celebrated	tlangerile; 
celebrates	tlangela; 
celebrating	tlangela;  mitlangu; 
celebration	ntlangu; 
celebrations	mikhuvu; 
cell	sele; 
cells	tisele; 
cellular	selula; 
census	nhlaya-vanhu;  sensasi; 
censuses	nhlayelo wa vanhu; 
cent	sente; 
centenary	siku ra vudzana ro kotlanisa; 
center	xikarhi;  senthara; 
central	-xikarhi; 
centre	xikarhi;  senthara; 
centres	tisenthara; 
centuries	malembexidzana; 
century	dzana;  lembe-xidzana;  dzana ra malembe; 
ceremonial	xa ximfumo;  xa nkhuvu; 
ceremonies	mikhuvu; 
ceremony	nkhuvo; 
certain	tiyisisiwile; 
certainly	hindlela leyi tiyisisiweke; 
certainty	leswi tiyisisiweke; 
certificate	vumbhoni;  setifikheti; 
certificates	tisetifikheti; 
certification	ku nyika setifikheti; 
certified	ku tiyisisa; 
cession	ku tinyikela; 
chain	pecani;  nketani; 
chair	xitulu;  xitulo; 
chaired	vile mutshamaxitulu;  fambisile; 
chairman	n'waxitulu;  mutshami wa xitulu; 
chairperson	mutshama-xitulu; 
chairpersons	vatshamaxitulu; 
challenge	ntlhontlho;  mbangisano;  vangisana;  ntlhontlha; 
challenged	 tlhontlhile; va na ntlhontlho; Tlhontlhiwile;  kanetile; 
challenges	mitlhontlho;  vangisana;  ntlhontlha; 
challenging	tlhontlha;  tlhontlhaka; 
chamber	yindlu; 
chambers	tiyindlu; 
champion	nghwazi; 
champions	tinghwazi; 
championship	vunghwazi; 
championships	vunghwazi; 
chance	nkarhi; xivandlanene; 
change	cinca;  cinci;  hundzuluko;  hundzuka; 
changed	cincile;  hundzuluxile;  hundzukile;  hundzulukile; 
changes	hundzuluxa;  hundzuluka;  ku cinca;  ku hundzuka; 
changing	cinca;  hundzuka;  hundzuluxiwa;  cinciwa; 
channel	lawula;  mugero;  chanele; 
channels	lawula; migero;  tichanele; 
chapter	kavanyisa; 
chapters	mikavanyiso; 
character	mutlangi;  hanyelo; 
characterised	tihlawulekisa; 
characteristic	xivumbeko;  xihlawulekisi;  -hanyelo;  xihlawurisi; 
characteristics	swihlawulekisi; 
characterize	vumba; 
characterized	tihlawulekisaka; 
characters	mahanyelo;  swimunhuhatwa; 
charge	hehla;  xihehlo;  nkoxo;  ku chaja bateri; 
charged	lexi pfuxetiweke matimba; 
charges	tihakelo;  swihehlo;  hakerisa;  swikoxo; 
charter	tsalwa ra tifanelo;  tsalwa ra timfanelo; 
chartered	hirile; 
check	xikambelo;  xiya-xiya; 
checked	kambisisile;  pfuxerile; 
chemical	murhi;  -mirhi;  khemikhali;  khemikali; 
cheque	cheke; 
chief	hosi; 
child	n'wana; 
children	vana; 
children's	swa vana; 
china	xibyi xa vumba xa xichayina; 
choice	nhlawulo; 
choices	mihlawulo; 
choir	khwayere; 
choose	hlawula; 
chose	hlawurile; 
chosen	hlawuriweke; 
chronic	godzombela; 
church	kereke; 
churches	tikereke; 
cinema	bayisikopo; 
cinemas	tisinema; 
circumstances	yimelo; 
cite	ku samanisa; 
cited	tshahile; 
cities	madorobankulu; 
citizen	muaki;  muaki wa tiko;  muakatiko; 
citizenry	vuakatiko; 
citizens	vaakatiko; 
citizenship	vuakatiko;  ntivo-mfumo; 
city	dorobankulu; 
civic	swa vaaki;  swa doroba; 
civil	-mfumo; 
civilian	muakatiko; 
claim	koxa;  ku langha xivandla xa mugodi;  nondzo;  londza; 
claimed	koxile; 
claims	koxa;  swikoxo; 
clarification	ntlawahato; 
clarify	veka erivaleni; 
clarion	kalarijoni; 
clarity	nhlamuselo yo veka erivaleni; 
class	ntlawa; 
classes	mitlawa; 
classic	xa ntlawa wo karhi; 
classics	ntirho wa vutshila wa nkoka lowu tekeriwaka enhlokweni; 
classification	avelo;  ntlawahato; 
classified	ntlawahato; 
classroom	tlilasi; 
clause	xinawana;  xivulwana; 
clauses	swinawana;  swivulwana; 
clean	-basa; 
cleaning	basisa; 
clear	sula;  vonakarisa;  ku xa;  ri xile;  -le rivaleni; 
clearance	vubasisi; ku humesa enandzwini; 
clearing	 tshetsha; ku basisiwa;  ripala; 
clearly	swi le rivaleni; 
clerk	mabalana;  mabalana wa huvo; 
click	xintlokolo;  tlokonyota; 
client	muxavi;  khasitama; 
clients	titlilayente; 
climate	maxele;  tlayimeti; 
clinic	kliniki;  tliniki; 
clinical	swikambelo swa vutshunguri ehenhla ka vavabyi; 
clinics	titliliniki; 
close	kusuhi;  khidzimbela; 
closed	pfalekile; 
closely	ekusuhi; 
closer	ekusuhi; 
closing	pfala; 
closure	mpfalo; 
closures	swo pfala; 
clothing	swiambalo;  xiambalo; 
club	xipanu; 
clubs	titlilabu; 
cluster	xichocho;  xijumba; 
co	nakulobye; 
co-operation	ntirhisano; 
co-operative	tirhisana;  -tirhisana; 
co-ordinate	tirhisana; 
co-ordination	nhlanganiso; 
co-production	ntshovelo wa nhlengelo;  ntshovelo wa nhlanganelo; 
coach	mudyondzisi;  xigolonyana; 
coal	lahla; 
coast	 vugima-lwandle; ribuwa; 
coastal	swa le tibuweni; 
coat	penda;  jazi; 
code	khodi;  xikombisi;  funghele; 
codes	tikhodi;  swikatsa swa milawu; 
coherent	swo landzeleriseka; 
cohesion	vun'we;  mfambelano; nkhomano; 
cohesive	leswi nga na vun'we; 
cold	xirhami;  mukhuhlwana;  ku titimela;  mukhuhlwani;  xo titimela;  ka titimela; 
collaborate	tirhisana; 
collaboration	ntirhisano; 
collaborative	swo tirhisana; 
collapse	 -wa; ku wa;  hindzimuka; 
colleagues	vatirhikulobye; 
collect	hlengeleta;  hlenga; 
collected	hlengeletile;  hlengile; 
collecting	hlengeleta;  hlenga; 
collection	nhlengeleto; 
collections	mihlengeleto; 
collective	nhlanganelo; 
collectively	hi ku hlanganela; 
colleges	tikholichi; 
colloquium	khomferense ya swidyondzeki;  seminara ya swidyondzeki; 
colonial	-koloni; 
colonialism	vukoloni; 
colonies	tikoloni; 
colony	koloni; 
colour	muhlovo;  muvala; 
coloured	-mavala; 
colourful	-mivala; 
colours	mihlovo;  mbalahata; 
column	nongonoko;  kholomo;  lusi;  rixaxa; 
combat	herisa;  nyimpi;  ku lwisana; 
combating	herisa;  lwisana; 
combination	nhlengelo;  nkatsano;  nkantso; 
combined	-katsiwa; 
come	ta; 
comedy	ntlangu wo tsakisa; 
comes	ta; 
coming	taka; 
comma	hefemulo; 
command	xileriso; 
commas	tihefemulo; 
commemorate	tsundzuka; 
commemorating	tsundzuka; 
commemoration	xitsundzuxo; 
commemorative	tsundzukiwa; 
commence	sungula; 
commenced	sungurile; 
commencement	masungulo;  ku sungula; 
commencing	sungulaka; 
commend	bumabumela; 
commendable	hoyozeleka; 
commensurate	fambelana hi vukulu kumbe mpimo; 
comment	mavonelo;  kanela; 
comments	mehleketo; 
commercial	-nxa-nxaviso;  swa mabindzu; 
commission	khomixini;  xihakelwana; 
commissioned	hakeriwile;  lerisile; 
commissioner	khomixinari;  muhlambanyisi; 
commissioners	vakhomixanara; 
commissions	tikhomixini; swihakelwana;  tikhomixini; 
commit	tiboha; 
commitment	ku tinyiketela; 
commitments	vutiboheleri; 
commits	tiboha; 
committed	tibohile; 
committee	komiti;  xihubyana; 
committee's	swa komiti; 
committees	tikomiti; 
committing	tiboha; 
commodities	swixavisiwa; 
commodity	xixavisiwa; 
common	-tiveka; 
commonly	hi ntolovelo; 
commonwealth	ntwanano wa matiko; 
communal	-xifundza; 
communicate	vulavula;  tirhisana; 
communicated	tivisiwile; 
communication	mbulavurisano;  fambelano; 
communication-related	swo fambelana na ku vulavurisana; 
communications	vuhlanganisi; 
communities	miganga; vaakandhawu; 
community	vaakatiko;  vaaki va ndhawu; 
community-based	xa le mugangeni; 
companies	ntlawa;  tikhamphani; 
company	khamphani;  komponi; 
comparability	vufananiseki; 
comparable	fananiseka; 
comparative	hi ku fananisa; 
compare	pimanisa;  pimanyisa; 
compared	fananisa; 
comparison	mpimanyiso; 
compassion	ntwelavusiwana; 
compatriots	varikwerhu; 
compelled	boheka;  sindzisiwile; 
compelling	sindzisa;  swa boha; 
compensate	rilisa; 
compensation	ndziriso; 
compete	phikizana;  ku phikizana; 
competence	vuswikoti; 
competencies	vuswikoti; 
competency	vuswikoti; 
competent	ku va na vuswikoti; 
competition	mphikizano; 
competitive	ku va na vuswikoti byo fikelela mipimo; 
competitiveness	vuswikoti byo fikelela mipimo; 
compilation	nhlengeleto; 
compile	hlengeleta; 
compiled	hlengeletwile; 
complainant	muvileri;  mumangali; 
complaint	xivilelo; 
complaints	swivilelo; 
complement	hetisa; 
complementary	xo seketela;  xo tatisela;  xo fambelana; 
complete	heta;  heleleke;  hetisa; 
completed	hetile;  tatisa;  hetisile; 
completely	hi vutalo;  hi ku hetiseka; 
completing	hetisa;  tatisa; 
completion	ku hetisiwa; 
complex	-katsana; 
complexity	mpfilungano; 
compliance	ku landzelela milawu; 
complied	landzelerile milawu; 
complies	landzelela milawu; 
comply	landzelela milawu; 
complying	landzelelaka milawu; 
component	xiphemu; 
components	xiako; 
composed	vumbile; qambhile;  rhurile; 
composition	xivumbeko;  vumbelo;  risimu;  xitsalwana;  nxaxameto;  nkatsakanyo;  ntumbuluxo; 
comprehensive	angarhela;  katsakanya; 
comprehensively	hi ku katsakanya;  hi ku angarhela; 
comprise	katsa;  vumbiwa hi; 
comprises	katsa;  vumbiwa hi; 
comprising	katsaka;  vumbiwaka hi; 
compromise	pfumela;  ku twanana; 
compromised	pfumelelana; vevukisile mpimo; 
compulsory	-nsindziso;  -boha; 
computer	khomphyuta; 
computers	tikhomphyuta; 
comrade	munghana; 
comrades	vanghana; 
conceive	tika;  ku biha emirini; 
conceived	anakanya;  anakanyile; 
concentrated	xa matimba; 
concentration	mianakanyiso; 
concept	nongoti;  xianakanyiwa; 
concepts	minongoti; 
concern	xivilelo;  khumba; 
concerned	vilela;  khumbeka; 
concerning	khumbekaka;  vilerisa;  vilerisaka; 
concerns	khumba;  vilerisa; 
concert	khonsati; 
conciliation	ntwananiso; 
conclude	hetelela;  fika emakumu;  dlayelela;  gimeta; 
concluded	hetelerile; dlayelerile;  songasongile;  hetelerile;  gimetile;  fikile emakumu; 
concludes	hetelela;  fika emakumu;  dlayela;  gimeta; 
conclusion	mahetelelo; dlayelelo;  mahetelelo;  nghimeto; 
concrete	xikhumbeka;  khonkhirete;  -xikhumbeki; 
concurrence	 ku endleka hi nkarhi wun'we;  ku humelela xikan'we; ku kotlana; 
concurrent	xikan'we; 
condemned	sorile; 
condemns	sola; 
condition	xiyimo;  xipimelo;  tshamelo; 
conditional	xipimelo xa sweswi; 
conditions	swiyimo; 
condolences	ku chavelela; 
condom	khondomu; 
condoms	tikhondomu; 
conducive	tirheka; 
conduct	fambisa;  tikhoma;  yimbelerisa;  matikhomele;  matikhomelo; 
conducted	endlile; 
conducting	endla; 
conducts	endla; 
confer	nyika xiyimo kumbe mfanelo; 
conference	nhlengeletano; 
conferences	tikhomferense; 
conferred	nyikile xiyimo kumbe mfanelo; 
confidence	ntshembo;  vutitshembhi; 
confident	ku titshembha; 
confidential	swa xihundla;  -xihundla; 
confirm	tiyisisa; 
confirmation	ntiyisiso; 
confirmed	tiyisisile;  tiyisisiwile; 
confiscation	mphango; 
conflict	dzolonga;  ku lwa emiehleketweni; 
conflicts	mitlimbo; 
confront	kongoma;  jamelana; 
congratulate	hoyozela; ba nkulungwana hi dzonga;  hoyozela; 
congratulates	hoyozela; ba nkulungwana hi dzonga;  hoyozela; 
congratulating	hoyozelaka; 
congratulations	nkulugwana hi dzonga;  vuhoyozeri; mikulungwana hi dzonga; 
congress	nhlengeletano; 
conjunction	rihlanganisi; 
connect	hlanganisa; 
connected	hlanganisiwile; khomanile;  va na vuxaka;  ku va na vuxaka; 
connection	nhlanganiso; 
conscience	ripfalo; 
conscious	ku titwa; 
consciousness	vutitwi; 
consecutive	hi ku landzelelana; 
consensus	mpfumelelano; 
consent	mpfumelelo;  pfumelela; 
consequence	mbuyelo;  hakelo; 
consequences	switandzhaku; mivuyelo; 
consequential	nkoka;  hikwalaho ko sweswo; 
consequently	hindlela ya nkoka;  hikwalaho ka sweswo; 
conservation	nhlayiso; 
conserve	hlayisa;  xilemeriwa;  xihlayisiwa;  lemela; 
consider	anakanya; 
considerable	tivikana; 
considerably	hindlela yo tivikana; 
consideration	 ku tekeriwa enhlokweni; ku langutisisiwa; 
considerations	 ku tekeriwa enhlokweni; ku langutisisiwa; 
considered	langutisisiwile;  tekeriwile enhlokweni; 
considering	anakanya; 
considers	tekela enhlokweni; 
consist	endliwa hi; 
consistency	ntiyelo; 
consistent	endla ku fanana eka nkarhi wo leha; 
consistently	hindlela yo fanana ; 
consisting	endliwa; 
consists	endliwa; 
consolidate	hlengela; 
consolidated	-tiyisiwa; 
consolidation	nhlengelo; 
constant	xo tshama tano;  minkarhi hinkwayo; 
constantly	hindlela leyi nga cinciki; 
constituency	ndhawu ya vahlawuri; 
constitute	vumba; 
constituted	vumbile; 
constitutes	vumba; 
constitution	vumbiwa;  nongonoko wa milawu; 
constitutional	ku fambelana na vumbiwa; 
constitutions	vumbiwa; 
constraint	xisivelo; 
constraints	swisivelo; 
construct	ku aka; 
constructed	akiwile; 
construction	xivumbeko;  vuaki; 
constructive	swo aka; 
construed	twisisiwa tanihi; 
consult	kombela switsundzuxo;  kombela xitsundzuxo; 
consultant	mutsundzuxi; 
consultants	vatsundzuxi; 
consultation	vutihlanganisi;  ntsundzuxo; 
consultations	vutihlanganisi; 
consultative	ku nyikana switsundzuxo; 
consulted	komberile switsundzuxo; tihlanganisile; 
consulting	tihlanganisa;  kombela switsundzuxo; 
consumable	-hela; 
consumables	switirhisiwa leswi helaka; 
consumer	mutirhisi;  mutirhisa-xixaviwa; 
consumers	vaxavi; 
consumption	vutirhiso; 
contact	hlangana; 
contacts	tihlanganisa; 
contain	tamela; 
contained	lawula; 
container	xikhatelo;  xikhomelo;  xitamelo; 
containers	tikhontheyini; switamelo; 
containing	ku va na; 
contains	ku va na; 
contemplated	anakanyiweke; langutisisiweke; 
contemporary	swa manguvalawa; 
contempt	rinyadzo; 
content	vundzeni;  leswi nga ndzeni; 
contents	vundzeni;  lexi nga ndzeni; 
context	mbango; 
continent	tikonkulu; 
continental	xa tikonkulu; 
continents	matikonkulu; 
contingency	lexi nga humelelaka eka nkarhi lowu taka; 
contingent	ntlawa;  xikatsa; lexi nga vhumbelekiki; 
continuation	ku ya emahlweni; 
continue	ku yisa emahlweni; 
continued	yisiwile emahlweni; 
continues	yisa emahlweni; 
continuing	yisa emahlweni; 
continuity	ku yiseka emahlweni; 
continuous	nkarhi wo ya mahlweni; 
continuously	hindlela leyi yaka emahlweni; 
contract	ntwanano;  ku khwonyana;  kontraka;  tsongahata; 
contracted	 tikokerile; khwanyarile; nyikile kontiraka;  tsongaharile; 
contracting	khwanyala;  nyika kontiraka;  tsongahata;  tsongahala; 
contractor	n'watikontiraka; 
contractors	van'watikontiraka; 
contracts	tikontiraka;  khwanyana;  mitwanano;  tsongahata; 
contractual	swa kontiraka; 
contrary	leswi kanetanaka; 
contrast	hambanisa;  ku hambana; 
contravenes	 lexi tlulaka nawu; lexi onhaka; 
contravention	ku onhiwa; 
contribute	hoxa xandla; 
contributed	hoxile xandla; 
contributes	hoxa xandla; 
contributing	hoxaka xandla; 
contribution	nhlengo;  ku hoxa xandla; 
contributions	ku hoxa xandla;  mihlengo; 
contributor	muhoxaxandla;  muhoxi wa xandla; 
contributors	vahoxaxandla;  vahoxi va xandla; 
control	mfumo;  lawula;  malawulelo;  fuma;  ndzawulo; 
controlled	lawurile; 
controlling	lawula; 
controls	vulawuri; swilawuri;  lawula;  malawulelo; 
convene	hlengeletana; 
convened	hlengeletanile; 
convention	mpfumelelano;  ntsombano; 
conventional	 ; ntolovelekile;  xa ntolovelo; 
conventions	mitolovelo;  mitwanano; mitsombano; 
convergence	nhlangano; 
conversation	mbhurisano; 
conversations	mivulavurisano; 
conversion	ncinco;  ku hundzuka;  ku hundzuluxa xivumbeko; 
convert	hundzuka;  ku cinca;  hundzuluxa;  mupfumeri;  ncinca; 
converted	cincile;  hundzuluxile;  hundzukile;  mupfumeri; 
convey	hundzisa;  tleketla; 
convict	xibochwa; 
convicted	bohiwile; 
conviction	ku khorwisa; nkhorwiso; 
convinced	khorwisiwile; khorwile; 
cookie	khekhe ro nyanganya; 
cooperation	ntirhisano; 
cooperative	tirhisana; bindzunhlengelo;  tirhisana; 
cooperatives	ntirhisano; mabindzunhlengelo; 
coordinate	tirhisana;  kondletela; 
coordinated	tirhisana; 
coordinating	tirhisana; 
coordination	ntirhisano; 
cope	kondzelela; 
copies	tikhopi;  kopela;  kopa; 
copy	khopi;  tsarisa;  kopisa;  ntsarisa; 
copyright	mpfumelelo wa ntsariso; 
core	xirho-xikarhi; 
corner	khona;  yinhla;  nhlohlwe; 
corporate	-vandla; 
corporation	khamphani leyikulu; 
corporations	tikhamphani letikulu; 
corps	xiyenge;  ntlawa;  vuthu; 
correct	lulamisa;  -lulama;  ku lulama; 
correction	ndzulamiso; 
correctional	xo lulamisa; 
corrections	ndzulamiso; 
corrective	-ndzulamiso; 
correctly	hi ku lulama; 
correspondence	mapapila;  ku tsalelana mapapila; 
corresponding	-ku twanana; 
corrupt	onha;  vukungundzwana; 
cost	nxavo;  vita; 
cost-effective	xo vuyerisa hi ku fambelana na madurhelo; 
costs	tihakelo; 
could	nga; 
council	huvo; 
councillor	ndhuna;  mukhanselara; 
councillors	vakhanselara; 
councils	tihuvo; 
counsel	laya;  tsundzuxa; 
counselling	ku nyika switsundzuxo; 
count	hlaya;  ku hlayela; 
countdown	ku hlayela mpfhuka wo huma epatwini; 
counter	 xihlayeri; muhlayeri; 
counterclaim	nkaneto; 
counterpart	ntangha; mulwetani; 
counterparts	tintangha; valwetani; 
countries	matikonkulu; 
country	tiko; 
country's	swa tiko; 
countrywide	tiko hinkwaro; 
couple	katsa;  ximbirhi; 
coupled	katsiwile;  katsanile; 
coupon	khoponi; 
courage	vurhena; 
course	khoso;  mpandzwa; 
courses	tikhoso; 
court	huvo; 
court's	xa khoto; 
courtesy	xichavo; 
courts	tihuvo; 
cover	angarhela;  khavara; 
coverage	nsirhelelo;  angarhelo; 
covered	sirheleriwile; angarheliwile; 
covering	xisirhelelo;  xifunengeto;  xikhumba; 
covers	sirhelela;  tikhavhara;  angarhela; 
covet	navela; 
coveted	naveriwaka; 
cradle	ntehe; 
craft	xendliwa;  vutshila bya swa mavoko; 
crafters	vavatli;  vatshila; 
crafts	 swiendliwa swa mavoko; vutshila bya swa mavoko; 
crater	yinkhwa; goji; 
create	tumbuluxa; 
created	tumbuluxile; 
creates	tumbuluxa; 
creating	tumbuluxa; 
creation	ntumbuluko;  xivumbiwa; vumbuluxi; 
creative	-ku kota ku tumbuluxa; 
creativity	vutumbuluxi; 
creator	mutumbuluxi;  mumbi; 
creators	vatumbuluxi;  vavumbi; 
credibility	vutshembeki; 
credible	swo tshembisa;  swo tshembeka; 
credit	xikweleti;  xuma lexi ngheneke; 
creditor	mukolotiwa; 
creditors	mukolotiwa; 
credits	swikweleti; 
creed	nawu; 
cricket	nthonono; 
crime	vugevenga; 
crimes	vugevenga; 
criminal	xigevenga;  -vugevenga; 
criminals	swigevenga; 
crisis	xirilo;  nkayakayo; 
criteria	mipimo; 
criterion	xihlawulekisi; 
critical	xa nkoka swonghasi;  ku sola; 
critically	tika; 
