APRIL	MORANANG; 
moves	ditshuto; sutisa; 
movie	baesekopo; 
moving	­sutang; 
much	­ntsi; 
multi-party	­makokomantsi; 
multilateral	­ditlhophadintsi; dinagantsi; 
multilingual	­dipuontsi;  ­ditementsi; 
multilingualism	bopuontsi; 
multimedia	tlhaeletsanophata; 
multiparty	-makokomantsi; 
multiple	katisanetswa; 
municipal	mmasepala; 
municipalities	bommasepala; 
municipality	mmasepala; 
murals	ditakokgolo; 
murder	bolaya;  polao; 
museum	musiamo; 
museums	dimusiamo; 
music	mmino; 
musicians	borammino; 
must	tshwanetse;  tshwanela; 
mutual	­tshwanang; 
mutually	ka go tshwana; 
myself	nna ka sebele; 
name	leina;  raya leina; 
named	teile leina; 
namely	e bong;  ke go re; 
names	 raya leina; maina; 
narrative	kanelo; 
narrow	 -tshesane; tshesane; 
natal	­pelegi; 
nation	setšhaba; 
national	 bosetšhaba; setšhaba; 
nationality	bosetšhaba; 
nationally	­bosetšhaba; 
nationals	setšhaba; 
nationhood	bosetšhaba; 
nations	ditšhaba; 
native	semelafa; 
natural	 lebusetsannotong;  ka tlhago; tlholego; 
nature	 tlhago; mokgwa; 
near	gaufi; 
nearest	gautshwane; 
nearly	 bokana ka; gaufi le; 
necessarily	tlhokegang; 
necessary	tlhokegang; 
need	 setlhokwa; batla; 
needed	batlile; 
needs	batla;  ditlhokwa; 
negative	 palotlase ga lefela; kganetso; 
negatively	ka kganetso; 
neglect	 go tlhokomologa;  tlogelela; tlhokomologo;  tlhokomologa; 
neglected	 tlhokomologile; tlogeletse; 
negligence	botlhaswa; 
negotiate	rerisana; 
negotiated	rerisane; 
negotiating	rerisanang; 
negotiation	therisano; 
negotiations	ditherisano; 
neighbouring	 mabapa;  ­dikologileng; ­agisaneng; 
neither	le e seng; 
net	 makopanelofaratlhatlha; letlowa; 
network	 mararang; kgokagano; 
networking	 mararang; kgokagano; 
networks	 mararang; dikgokagano; 
never	le goka; 
nevertheless	le mororo;  le fa go ntse jalo; 
new	šwa; 
newly	ka bošwa; 
news	dikgang; 
newsletter	lokwalodikgang; 
newsletters	makwalodikgang; 
newspaper	 lokwalodikgang; kuranta; 
newspapers	makwalodikgang;  dikuranta; 
newsroom	phaposikgang; 
next	-latelang; 
night	bosigo; 
nine	robongwe;  robonngwe; 
no	nnyaa; 
noble	­tlotlegang; 
nominal	 tšhelete e nnye; madi a mannye; 
nominate	tlhagisa;  ikgethela; 
nominated	tlhagisitse;  ikgethetse; 
nomination	tlhagiso; 
nominations	ditlhagiso; 
non	­seng; 
non-compliance	­seng kobamelo; 
non-governmental	­seng puso; 
non-profit	­seng ya poelo; 
non-racial	­seng lotso;  ­seng mmala; 
non-refundable	pusetso;  ­seng; 
non-sexism	­seng kgethololo ya bong; 
non-sexist	­sa kgetholole ka bong; 
non-tax	­seng lekgetho; 
none	epe; 
nor	le fa e le; 
normal	tlwaelo;  siame; 
normally	ka gale; 
norms	ditlwaelo;  meetlo; 
north	 ya leboa;  leboa; bokone; 
northern	­bokone; 
not	e seng; 
notable	­itsegeng; 
notably	ka kitso; 
note	 kwala; ntlha;  nnoto;  ledi la pampiri;  segalo;  ela tlhoko; 
noted	kwadilwe; 
notes	dintlha tsa thuto; 
nothing	sepe; 
notice	lemoga;  tshedimoso;  temogo;  kitsiso; 
notices	lemoga;  dikitsiso;  ditshedimoso;  ditemogo; 
notification	 temoso; kitsiso; 
notified	 lemositse; itsisitse; 
notify	itsise;  lemosa; 
noting	tseile tsia;  elang tlhoko; kwalang; 
notion	mogopolo; 
notwithstanding	go sa tlhokomologwe; 
novel	padi; 
now	jaanong; 
nuclear	nyutlelia; 
null	se nang boleng; 
number	 nomore; palo; 
numbers	dipalo;  dinomoro; 
numerous	ntsintsi;  -ntsintsi; 
nurse	 oka; mooki; 
nurses	 oka; baoki; 
nursing	 tiro ya booki; okang; 
nurture	 otla;  godisa; tlamela; 
nurturing	 otlang; tlamelang;  godisang; 
nutrition	kotlo; 
oath	maikano; 
object	 sedirwa; selo;  sere; 
objection	dikemokgatlhanong; 
objections	dikemokgatlhanong; 
objective	maitlhomo;  kwa ntle ga boitebo; 
objectives	maitlhomo; 
objects	 dire; dilo;  didirwa; 
obligation	pateletsego; 
obliged	 ­patelesega; ­tlamegile; 
observatory	bolepaloapi; 
observe	ela tlhoko; 
observed	etse tlhoko; 
obsolete	se se sa tlholeng se dirisiwa; 
obtain	bona;  fitlhelela; 
obtainable	bonala; 
obtained	bone;  fitlheletse; 
obtaining	bonang;  fitlhelelang; 
obvious	 itlhalosa; bonala; 
obviously	 ka go itlhalosa; ka go bonala; 
occasion	motlha; 
occasions	metlha; 
occupation	tiro;  tsenelela;  thopo; 
occupational	tshupetsokgono ya ditiro; 
occupied	 thopile; nnile; 
occupy	nna;  thopa; 
occur	diragala; 
occurred	diragetse; 
occurrence	tiragalo; 
occurring	diragalang; 
occurs	diragala; 
ocean	lewatle; 
of	ya; 
off	tloga; 
offence	tlolomolao; 
offences	ditlolomolao; 
offender	motlolamolao; 
offenders	batlolamolao; 
offer	 aba; neela; 
offered	neetse;  abile; 
offering	kabelo; 
offerings	meneelo; dikabelo; 
offers	 aba; neela; 
office	kantoro; 
office-bearers	ba ba tshwereng maemo a kantoro; 
officer	motlhankedi wa mmuso;  ofisiri; 
officers	 batlhankedi ba mmuso; baofisiri; 
offices	dikantoro; 
official	semmuso;  mokantoro; 
officially	ka molao; 
officials	batlhankedi; 
offshore	 ­lobopong; ­mo lewatleng; 
often	­gantsi; 
oil	oli; 
old	 godile;  tsofetse; bogologolo;  kgale; 
older	­golwane; 
oldest	­golo go feta; 
omission	tlogelo; 
omissions	ditlogelo; 
on	­tshubilwe; 
on-going	tswelelang; 
once	gangwe; 
once-off	­tiragalo nngwe; 
one	 ka serolana; nngwe; 
ongoing	tswelelang; 
online	 -golagantsweng; golagane; 
only	fela; 
onto	mo godimo ga; 
open	 khurumolola; bula; 
opened	butse; 
opening	phatlha;  lephago; 
opens	 khurumolola; bula; 
operate	go ara; 
operated	arile; 
operates	ara; 
operating	arang; 
operation	 kgato; tiro;  karo;  tiragatso; 
operational	­dirang; 
operations	 dikgato;  dikaro;  ditiragatso; ditiro; 
operator	modirisi; 
operators	badirisi; 
opinion	maikutlo; 
opinions	maikutlo; 
opportunities	 ditšhono; ditshiamelo; 
opportunity	tshiamelo; 
oppose	ganetsa; 
opposed	ganeditse; 
opposite	kgatlhanong; 
opposition	kganetso;  baganetsapuso; 
oppressed	 bogisitse; bogile; 
oppression	pogo; 
oppressive	­bogisang; 
optimal	­gaisang; 
optimism	tumelo ya tse di siameng; 
option	boitlhophelo; 
options	maitlhophelo; 
or	 gongwe; kgotsa; 
oral	molomo;  - bua; 
orange	namune; 
orchestra	mminotetso; 
order	 rulaganya;  romelela;  tolamo;  taelo;  tatelano; thulaganyo;  thomelelo; 
ordered	 romeletse; rulagantse; 
orders	dithulaganyo;  dithomelelo;  ditatelano;  ditaelo; 
ordinance	molawana; 
ordinarily	gale; 
ordinary	­fela; 
organ	 kwadi;  okene;  oregane; serwe; 
organisation	 mokgatlho; thulaganyo; 
organisational	­setlamo; 
organisations	dithulaganyo;  ditlamo; 
organised	rulagantse; 
organisers	barulaganyi; 
organising	thulaganyo; 
organization	setlamo; 
organizations	setlamo; 
organized	rulagantse; 
organizers	barulaganyi; 
organs	serwe sa go bua; 
orientation	kaelo; 
origin	tshimologo; 
original	tshimologo; 
originally	tshimologong; 
origins	ditshimologo; 
other	­nngwe; 
others	tse dingwe;  ba bangwe;  a mangwe; 
otherwise	fa go sa nna jalo; 
ought	tshwanetse; 
our	rona; 
ours	­rona; 
ourselves	borona; 
out	 kwa ntle; ntsha; 
outcome	poelo; 
outcomes	dipoelo; 
outdoor	mmileng;  kwa ntle; 
outgoing	­tswang mo maemong;  ­rata go tswa; 
outline	tlhagiso;  baya dintlha;  losi; 
outlined	beile dintlha; 
outlines	ditlhagiso;  baya dintlha;  dintshi; 
outlook	tebotshelo; 
output	ntshetsontle; 
outputs	dintshetsontle; 
outreach	fitlhelela; 
outside	ntle;  kwa ntle;  -ntle; 
outsourced	kopile tirelo ya kwa ntle; 
outstanding	­bonagalang;  ­saletseng kwa morago; 
outward	 ka kwa ntle; ka fa ntle; 
oval	motopo; 
over	 fa godimo; feditse; 
overall	obarolo; 
overarching	­tlhotlheletsang; 
overcome	fenya; 
overcrowding	pitlagano; 
oversee	 okama; lebelela; 
overseeing	 okameng; lebeletseng; 
oversight	 kokamo; phoso; 
overview	ntlhatebo; 
overwhelming	 botlhokwa thata; ­fekeetsang thata; 
owed	kolotile; 
owing	kolotang; 
own	 ­na le; rua; 
owned	ruile; ­nnile le; 
owner	mong; 
owners	beng; 
pace	lebelo; 
package	pakana; 
packages	dipakana; 
page	tsebe; 
pages	ditsebe; 
paid	 lefile; duetse; 
pain	botlhoko;  setlhabi; 
painful	opa; 
painting	 tako;  go taka; setshwantsho; 
paintings	 metako; ditshwantsho; 
palace	mošate; 
panel	 phanele; lekoko;  baatlhodi; 
paper	pampiri;  kuranta; 
papers	 dikuranta; dipampiri; 
par	selekano; 
paragraph	temana;  tema; 
paragraphs	 ditema; ditemana; 
parameters	diparameta; 
parent	motsadi; 
parental	botsadi; 
parents	batsadi; 
park	phaka; 
parks	diphaka; 
parliament	palamente; 
parliament's	­Palamente; 
parliamentarians	bapalamente; 
parliamentary	­palamente; 
parliaments	dipalamente; 
part	karolo; 
part-time	nakwana; 
partial	bontlhabongwe; 
partially	ka bontlhabongwe; 
participant	motsayakarolo; 
participants	motshameki; 
participate	 tsaya karolo; nna le seabe; 
participated	nnile le seabe;  tshotse karolo; 
participates	 tsaya karolo; nna le seabe; 
participating	nnang le seabe;  tsayang karolo; 
participation	botsayakarolo; 
participatory	­botsayakarolo; 
particularly	dintlha; 
particulars	dintlha; 
parties	diphathi; 
partly	ka ntlha nngwe; 
partner	molekane;  mogwebisani; 
partners	balekane;  bagwebisani; 
partnership	kgwebisano; 
partnerships	dikgwebisano; 
party	phathi; 
pass	 neeletsa; boitshupo;  - ragela;  falola;  ragela; 
passed	neeleditse; falotse;  ragetse;  - ragetse; 
passenger	mopalami; 
passengers	bapalami; 
passes	 neeletsa; boitshupo;  falola;  ragela; 
passing	 tlolanyo; pheto; 
passport	 lokwalo lwa mosepele; paseporoto; 
past	morago; 
path	tselana; 
patient	molwetse;  mmobodi; 
patients	 babobodi; balwetse; 
patriotism	mowa wa bosetšhaba; 
pattern	paterone;  sekaelo; 
patterns	dikaelo;  dipaterone; 
paved	adile mokwakwa; 
pavilion	phabilione;  loobo; 
pay	tuelo;  duela;  lefa; 
payable	­tshwanetse go duela; 
paying	duelang;  lefang; 
payment	 tefo; tuelo; 
payments	dituelo; ditefo; 
pays	duela;  lefa;  dituelo; 
peace	kagiso; 
peaceful	ka kagiso; 
peak	setlhoa; 
peer	thaka; 
penalties	dipenele; 
pension	phenšene; 
pensions	diphenšene; 
people	batho; 
people's	­batho; 
peoples	batho; 
perceived	 lemogile; bone;  tlhalogantse; 
percent	phesente; 
percentage	phesente;  bolekgolong; 
percentages	 malekgolong; diphesente; 
perception	 temogo; pono;  tlhaloganyo; 
perceptions	 ditemogo; ditlhaloganyo;  dipono; 
perform	dira;  diragatsa; 
performance	tiro;  - dira;  tiragatso; 
performances	 ditiragatso; ditiro; 
performed	dirile;  diragaditse; 
performer	modiragatsi; 
performers	badiragatsi; 
performing	 diragatsang; dirang; 
performs	dira;  diragatsa; 
perhaps	 ka gongwe; kgotsa; 
period	 lobaka; paka;  pakathuto; 
periodical	ka dipaka;  makasini; 
periods	dipaka;  metlha; 
perjury	kanokako; 
permanent	 ruri; leruri; 
permanently	ruri; 
permission	tetla; 
permit	 dumelela; tumelelo; 
permits	 ditumelelo; dumelela; 
permitted	dumeletse; 
perpetuate	direla ruri; 
person	 mmuiwa;  mmuisiwa;  mmui; motho; 
person's	­motho; 
personal	kanamana; 
personally	ka namana;  ka sebele; 
personnel	badiri; 
persons	batho;  babui; babuisiwa;  babuiwa; 
perspective	ponalo; 
perspectives	diponalo; 
pertaining	­ka ga; 
petition	thapedi;  lekwalotopo; 
petitions	 makwalotopo; dithapedi; 
petrol	 lookwane; peterolo; 
petroleum	peteroleamo; 
pharmaceutical	-khemise; 
pharmacist	rakhemisi; 
pharmacy	 khemise; melemong; 
phase	sebaka; 
phases	dipaka; 
phenomenon	ponagalo; 
philosophy	filosofi; 
phone	mogala; 
photo	senepe, foto; setshwantsho; 
photograph	setshwantsho; 
photographers	batsayaditshwantsho; 
photographic	­senepe; 
photographs	ditshwantsho; - tsayaditshwantsho; 
photos	 dinepe; ditshwantsho; difoto; 
physical	 sebopego;  popego;  senama;  bofisika; mmele; 
physically	ka mmele; 
piano	 piano; tlase; 
picture	setshwantsho; 
pictures	ditshwantsho; 
piece	lenathwana; 
pieces	 dikabetlana; manathwana; 
pillar	pinagare; 
pillars	dipinagare; 
pilot	 mofofane; mofofisi; 
pioneers	bathobolodi; 
pivotal	­botlhokwa; 
place	 baya; lefelo; 
placed	beile; 
placement	patlelofelo; 
places	mafelo;  manno; 
placing	peo; 
plain	bonolo;  lebala; 
plains	mabala; 
plaintiff	mongongoregi; 
plaintiff's	mongongoregi;  moikuedi; 
plan	 loga maano; leano;  polane;  thalo;  -polane; 
planet	 setsatsi; polanete; 
planned	 logile maano; thadile; 
planning	togamaano;  - dira maano; 
plans	 loga maano; maano;  methalo;  dipolane; 
plant	 jala;  ditshika tsa semela;  semela; tlhoma; 
plants	 dimela;  jala;  ditshika tsa semela; dipolante; tlhoma; 
plastic	polasetiki; 
plate	papetla; 
platforms	dipolateforomo; 
platinum	polatinamo; 
play	tiragatso;  motshameko; 
played	 tshamekile; motshameko; 
player	motshameki; 
players	batshameki; 
playhouse	mantlwane; 
playhouses	mantlwane; 
playing	 diragatsang; tiragatso;  tshamekang;  motshameko; 
plays	metshameko;  ditiragatso; 
plea	ipobolo; 
pleading	kopang; 
pleadings	dikopo; 
please	 kgotsofatsa; tsweetswee; 
pleased	kgotsofaditse; 
pleasure	thabo; 
pledge	ikano;  sebeelo;  itlamo; 
pledged	itlamile;  ikanne; 
plenary	­maloko otlhe a komiti; 
plight	pitlagano; 
plus	le;  tlhakanyi; 
poaching	go utswa diphologolo; 
poem	leboko; 
poet	mmoki; 
poetry	poko; 
poets	baboki; 
point	 ntlhana; supa;  leduo;  khutlo; 
pointed	supile; 
points	 dikhutlo; supa;  maduo;  dintlhana; 
police	lepodisi;  lephodisa; 
policies	 dipholisi tsa inšorense; maikemisetso;  dipholisi; 
policy	 maikemisetso;  pholisi ya inšorense; pholisi; 
politics	dipolotiki; 
pollution	 kgotlelego; kgotlelo; 
pool	letamo;  mogobe; 
poor	 - tlhoka; botlhoki; 
poorly	ka bokoa; 
popular	itsege;  tumileng; 
population	 bontsi; baagi; 
pornography	­thobalano; 
port	boemakepe; 
portal	botseno; 
portfolio	lefapha;  potefolio; 
portion	karolo;  bogare; 
portray	tshwantsha; 
portrayed	tshwantshitse; 
ports	boemakepe; 
pose	botsa; 
posed	boditse; 
position	 kemo; maemo; 
positions	 dikemo; maemo; 
positive	koketso; 
positively	ka tsela e e siameng; 
possess	 ­nna le; rua; 
possession	leruo; 
possibilities	kgonagalo;  kgonego; 
possibility	kgonego; 
possible	kgonegang; 
possibly	ka bokgoni; 
post	tiro;  posa;  poso; 
postal	­poso; 
postgraduate	 moithuti wa dithutokgolwane; dithutokgolwane morago ga dikerii; 
postponed	buseditse kwa morago; 
postponement	pusetsomorago; 
posts	 diphatlhatiro; tiro;  posa; 
pot	pitsa; 
potential	bokgoni; 
potentially	ka bokgoni; 
poverty	tlala; 
power	 maatlataolo; maatla;  maatlaikatisi; 
powerful	- le maatla; 
powers	 maatlataolo; maatla;  maatlaikatisi; 
practicable	kgonegang; 
practical	tiriso; 
practice	 tlwaelo; katiso;  bongaka; 
practices	 dikatiso; ditlwaelo;  bongaka; 
practise	 katisa; katiso;  ikatisa; 
practitioner	modirisi;  ngaka; 
practitioners	modirisi;  dingaka;  badiredi; 
praise	boka; 
prayer	 dithapelo; thapelo; 
pre-colonial	pele ga bokoloniale; 
pre-trial	pele ga tsheko; 
preamble	matseno; 
precede	etelela; 
preceded	eteletse; 
preceding	eteletseng; 
precinct	karolotoropo ya botsamayakadinao; 
precincts	dikarolotoropo tsa botsamayakadinao; 
precious	­rategang; 
precisely	ka nepo; 
preference	leakanyetsopele; 
preferential	­rategang; 
preferred	ratile; 
pregnancy	boimana;  ithwalo;  kimo; 
pregnant	 ithwele; ima;  go ima;  ithwala;  imile; 
prejudice	kgethololo;  gobelela; 
preliminary	-matseno; 
premier	tonakgolo; 
premised	­ikaegile ka tumelo e e rileng; 
premises	dikago; 
preparation	 setlhare;  iketleetso; paakanyo; 
preparations	diiketleetso; dipaakanyo; 
preparatory	-paakanyo; 
prepare	 - siamisa; baakanya; 
prepared	baakantse; 
preparing	baakanyang;  - siamisang; 
prescribe	baya; 
prescribed	-beilweng; 
prescribing	beile; 
prescription	ditaelo;  setlhare se ngaka e se laelelang molwetsi; 
prescripts	ditaelo-semmuso; 
present	jaanong;  neo;  mpho;  kabelo; 
presentation	tlhagiso;  tlhagisetso; 
presentations	ditlhagiso; ditlhagisetso; 
presented	neetse;  abile; 
presenting	neelang;  abang; 
presently	ga jaana; 
presents	 dineo;  dimpho; dikabelo; 
preservation	poloko; 
preserve	somarela; 
preserved	somaretse; 
preserving	somarelang; 
preside	tshwara marapo; 
presidency	maemo a moporesidente; 
president	poresitente;  tautona; 
president's	moporesidente; 
presidential	moporesidente; 
presidents	ditautona; diporesidente; 
presiding	tshwarang marapo; 
press	kgatiso;  tobetsa;  tereika; 
pressing	ntlhaphisego; sidilang (diaparo); 
pressure	kgatelelo; 
pressures	dikgatelelo; 
prestigious	­gaisang; 
presumed	itlhomile; 
pretty	montle; 
prevail	fenya;  fekeetsa; 
prevailing	­ka gale;  ­leruri; 
prevalence	tlhagelelo; 
prevent	 kganela; thibela; 
prevented	thibetse;  kganetse; 
preventing	 kganelang; thibelang; 
prevention	thibelo; 
previous	morago; 
previously	mo nakong e e fetileng; 
price	tlhotlhwa;  poreisi; 
prices	diporeisi; ditlhotlhwa; 
pride	 boikgogomoso; boikgantsho; 
priest	moperisita; 
primarily	ka bogolo; 
primary	poraemari; 
principal	mogokgo;  porinsipala; 
principals	diporinsipala; bagokgo; 
principle	 theo; motheo; 
principles	ditheo;  metheo; 
print	gatisa;  toitshe;  kwala ka go gatisa;  kgatiso; 
printed	 kwadile ka go gatisa; gatisitse; 
printing	kgatiso; 
prior	pele; 
priorities	ditlapele; 
prioritise	dira setlapele; 
prioritised	dirile setlapele; 
priority	setlapele; 
prison	 toronko; kgolegelo; 
prisoner	mogolegwa;  setshwarwa; 
prisoners	bagolegwa; 
prisons	dikgolegelo;  ditoronko; 
privacy	bophiri; 
private	-sephiri; 
privilege	tshwanelo; 
privileged	nna le tshwanelo; 
privileges	ditshwanelo; 
prize	tebogo; 
prizes	ditebogo; 
pro	­tshegetsang; 
proactive	diragatsang; 
probably	ka gongwe; 
probation	pakateko; 
probe	botsa;  tlhotlhomisa; 
problem	 tharaano;  leraraane; bothata; 
problems	ditharaano; mathata;  mararaane; 
procedural	­tsamaiso; 
procedure	tsamaiso; 
procedures	ditsamaiso; mekgwatsamaiso; 
proceed	 tswelela pele; tswelela; 
proceeding	tiragalo;  tswelang pele; 
proceedings	ditsamaiso; 
proceeds	dipoelo; 
process	 tirego; dira;  tsamaiso; 
processed	dirile; 
processes	 ditirego;  ditsamaiso; dira; 
processing	dirang; 
procession	mokoloko; 
proclamation	kgoeletso; 
procurement	tshenkelo; 
produce	tlhagisa;  kumo;  uma; 
produced	tlhagisitse;  ungwile; 
producer	 moumisi; setlhagisi; 
producers	ditlhagisi; 
produces	tlhagisa;  dikumo;  uma; 
producing	tlhagisang;  ungwang; 
product	 kumo;  seatiso; kungo; 
production	 tsweletso ya filimi; kumo; 
productions	tsweletso ya filimi; 
productivity	bokgoni jwa ntshokumo; 
products	 dikungo;  dikumo; dikatiso; 
profession	borutegi; 
professional	 boithutelo; moitseanape; 
professionals	 boithutelo; baitseanape; 
professions	borutegi; 
professor	moporofesara; 
profile	thalotlhakore; 
profit	poelo; 
profits	dipoelo; 
profound	teng; 
program	lenaneo;  lenane; 
programme	lenaneo;  lenane; 
programmes	mananeo;  manane; 
programming	tlhamomananeo;  thulaganyonaneo; 
programs	mananeo;  manane; 
progress	tswelelopele;  tswelopele;  tswelela pele; 
progression	tswelelopele; 
progressive	 -gatelang pele; kgatelopele; 
prohibit	thibela; 
prohibited	thibetse; 
prohibition	thibelo; 
project	 -gatelang pele; tiro;  mmalatheo;  tsweletsa; 
projected	tsweleditse; 
projection	 ntlhakhutlogo; tsweletso;  pontsho; 
projections	dipontsho; dintlhakhutlogo;  ditsweletso; 
projects	mebalatheo;  tsweletsa; ditiro; 
prominent	­botlhokwa; 
promise	 tsholofetso; solofetsa; 
promised	solofeditse; 
promises	ditsholofetso; 
promote	tsweletsa; 
promoted	tlhatlositse; tsweleditse; 
promotes	tsweleditse; tlhatlosa; 
promoting	tlhatlosang; tsweletsang; 
promotion	tlhatloso; 
promptly	ka nako; 
promulgated	itsisitse semmuso; 
promulgation	kitsiso semmuso; 
proof	bopaki; 
proper	­maleba; 
properly	ka tsela e e maleba; 
properties	 dipharologantsho; dithoto; 
property	 pharologantsho; thoto; 
proportion	karolo;  kabelo;  tekanyetso; 
proposal	tlhagiso; 
proposals	ditlhagiso; 
propose	tlhagisa; 
proposed	tlhagisitse; 
proposes	tlhagisa; 
prosecute	isa tshekong; 
prosecuted	isitse tshekong; 
prosecuting	sekisang; 
prosecution	tshekiso; 
prosecutions	ditshekiso; 
prosecutor	motšhotšhisi; 
prosecutors	batšhotšhisi; 
prospect	potiela; 
prospecting	potielang; 
prospective	­kgonagalo ya go direga; 
prospects	potiela; 
prospectus	tlhodisetsopele; 
prosperity	 tswelelo;  kokotlegelo; katlego; 
prosperous	­atlegileng; kokotlegileng; 
protect	sireletsa;  femela; 
protected	femetse; sireleditse; 
protecting	 femelang; sireletsang; 
protection	tshireletso; 
protective	-sireletsang; 
protector	mosireletsi; 
protest	ganana;  kganano; 
protests	boipelaetso;  dikganano;  diipelaetso; ganana; 
protocol	porotokolo; 
protocols	diporotokolo; ditatelokalafo; 
proud	ikgantsha; 
proudly	ka boipelo; 
prove	netefatsa; 
proved	netefaditse; 
proven	netefaditswe; 
provide	neela; 
provided	fa e le gore; 
provident	thulaganyetso ya polokomadi; 
provider	motlamedi; 
providers	batlamedi; 
provides	neela; 
providing	neelang; 
province	 porofense; porofensi; 
province's	­porofense; 
provinces	diporofense; 
provincial	­porofense; 
provision	tshiamelo;  aba; 
provisional	-nakonyana; 
provisions	 dikabo; ditshiamelo;  aba; 
proviso	peelo; 
proxy	thulaganyo ya go direlwa; 
prudent	tlhokomelo; 
prudential	­kelotlhoko; 
psychological	­saekholoji; 
public	batho;  tshekelele; 
publication	kgatiso; 
publications	dikgatiso; 
publicly	mo mpaananeng; mo phatlalatseng; 
publish	phasalatsa; 
published	phasaladitse; 
publisher	mophasalatsi; 
publishers	baphasalatsi; 
publishes	phasalatsa; 
publishing	phasalatsang; 
punishment	kotlhao; 
purchase	reka; 
purchased	rekile; 
purchases	reka; 
purport	e ikaya e le; 
purporting	ikayang e le; 
purpose	tebo;  ikemisetso; 
purposes	 ditebo; maikemisetso; 
pursuant	kobamelomolao; 
pursue	tswelela; 
pursued	tsweleditse; 
pursuing	tsweletsang; 
pursuit	tsweletso; 
push	kgorometsa; 
put	baya; 
puts	baya; 
putting	bayang; 
qualification	borutegi; 
qualifications	borutegi; 
qualified	nonofile; 
qualify	 tlhaola; kgona;  boleng;  sutlhelela; 
qualifying	 tlhaolang;  sutlhelelang; kgonang; 
qualitative	­boleng; 
qualities	boleng; 
quality	boleng; 
quantitative	­bokana kang; 
quantity	bokanakang;  bokalo; 
quarter	 kgweditharo;  kwatara; kotara; 
quarterly	ka kotara; 
quarters	bonno; 
queen	mohumagadi; 
queries	dipotso; 
quest	patlisiso; 
question	potso; 
questionnaire	dipotsopatlisiso; 
questionnaires	dipotsopatlisiso; 
questions	dipotso; 
quickly	 ka bonako; ka pele;  ka go itlhaganela;  ka bofefo; 
quinine	kwinini; 
quite	 ruri; sentle; 
quorum	khoramo; 
quotation	nopolo; 
quotations	dinopolo; 
quote	khouta; 
race	kgaisano;  lotso;  mokato;  kata; 
races	 mabelo; ditso; 
racial	-lotso; 
racism	botso; 
racist	motlhaodi; 
radical	-gotlhe; 
radio	 tlhaeletso ka radio;  seyalemowa; radio; 
raid	tlhaselo;  letsholophuruphutso; 
rail	reile; 
railway	 ralawee; seporo; 
rain	pula;  - na;  pula e a na; 
rainbow	molagodimo; 
rainfall	 go na ga pula; selekanyo sa pula; 
raise	tsholetsa;  motlhatlogo; 
raised	tsholeditse; 
raises	 metlhatlogo; tsholetsa; 
raising	tlhatlogang;  motlhatlogo;  tsholetsang; 
rand	ranta; 
range	paka;  tlhatlhamano;  tekanyo; 
ranges	 ditlhatlhamano;  ditekanyo; dipaka; 
rank	 kemofatso;  kemo; maemo; 
ranks	 dikemo; maemo; 
rape	 thula;  betelela; petelelo;  thulo; 
rapid	 lephothoselo;  phororo; bonako; 
rapidly	kakofo; 
rare	go se bonale; 
rate	 kelo;  tekanyo ya tswelelopele;  lebelo;  kgethisa;  kata; tekanyetso; 
rates	tekanyetso; 
rather	bogolo; 
ratification	tlhomamiso; 
ratified	tlhomamisitse; 
rating	kelofatso; 
ratings	dikelofatso; 
ratio	kabo; 
rationalisation	phokotso ya badiri;  kakanyo ka boitebo; 
raw	 sa butswang; -tala; 
reach	 goroga; fitlhelela;  tshwara; 
reached	 gorogile;  fitlheletse; tshwere; 
reaching	tshwereng;  fitlhelelang; 
read	buisa; 
reader	 padiso; mmuisi; 
readers	 padiso; babuisi; 
readily	ka ipaakanyetso;  ka iketleetso; 
readiness	 iketleetso; ipaakanyetso; 
reading	 palelo; puiso; 
ready	 iketleeditse; ipaakantse; 
reaffirm	tlhomamisa gape; 
real	mmatota;  mmannete; kônôkônô; 
realisation	temogo; 
realise	bona; 
realised	 lemogile; bone; 
realising	boneng;  lemogang; 
realities	ditsaboammaaruri;  ditsannete; 
reality	bommannete; -boammaaruri; 
realization	temogo; 
realize	bona;  lemoga; 
really	 ka boammaaruri; nnetefela; totatota; 
reason	 nagana; lebaka; 
reasonable	isega; 
reasonably	mo go isegang; 
reasons	mabaka; 
reburial	phitlho gape; 
recapitalisation	kabotšhelete;  palelogape; 
receipt	rasiti;  tshupatuelo; 
receipts	dirasiti;  ditshupatuelo; 
receive	amogela; 
received	amogetse; 
receives	amogela; 
receiving	amogelang; 
recent	sešweng; 
recently	ka sešweng; 
reception	kamogelo; 
recession	risešene; kgaotso; 
recipient	moamogedi; 
recipients	baamogedi; 
reclaim	busetsa; 
recognise	amogela;  lemoga; 
recognised	 lemogile; bone; 
recognises	 lemogile; bone; 
recognising	bonang;  lemogang; 
recognition	temogo; 
recognize	 lemogile; bone; 
recognized	 lemogile; bone; 
recommend	atlanegisa; 
recommendation	katlanegiso; 
recommendations	dikatlenegiso; dikatlanegiso; 
recommended	atlanegisitse; 
recommends	atlanegisa; 
reconciliation	kagisanyo; 
record	bega;  tshupo;  lenane la thoto;  - kwala; 
recorded	kwadile; 
recording	kgatiso; 
records	 ditshupo; bega;  manane a thoto;  - kwala; 
recover	- fola; 
recovered	fodile;  bonwe gape; 
recovery	pholo;  nonofa; 
recreation	tsosoloso;  boitapoloso; 
recreational	­boithabiso;  ­boitapoloso; 
recruitment	thaopo; 
rectify	 siamisa; baakanya; 
