ABET	Imfundvo yalabadzala; I-ABET; 
listen	lalela; 
listing	kwenta luhlu; 
lists	tinhlu;  yenta luhlu; 
literacy	kwati kufundza nekubhala; 
literally	njengobe kunjalo; 
literary	 kwetincwadzi letibhaliwe; kwemibhalo; 
literature	tembhalo; 
litigation	ummango; 
little	ncane; 
live	 -nemlilo; phila; 
lived	 -hlala; phila; 
livelihood	kutiphilisa; 
livelihoods	tindlela tekutiphilisa; kutiphilisa; 
lives	timphilo; 
livestock	imfuyo; 
living	kuphila; 
load-shedding	kwabelana gezi ngetikhawu; 
loan	sikweleti; 
loans	 timalimboleko; tikweleti; 
local	 -kwesigodzi; kwendzawo; 
locally	kwendzawo; 
locals	 -kwesigodzi; kwendzawo; 
located	 bekwa endzaweni; tfoliwe; beka endzaweni; 
location	 kuniketwa; indzawo;  lilokishi; 
lock-up	khiya; khiyela; 
lodge	hlala;  indzawo yekuhlala; 
lodged	fakiwe; khululiwe; 
lodging	kuhlala; 
logistics	 kuhleleka; lokudzingekako; 
long-term	sikhatsi lesidze; 
longer	-dze kakhudlwana;  sikhatsi lesidze; 
look	buka; 
looked	bukile; 
looking	buka; 
looks	 kubukeka; kubuka; 
loop	sihibe; 
lose	lahla; 
loss	 kulahlekelwa ekhulwini; kulahlekelwa; 
losses	 kulahlekelwa; kulahlekelwa; 
lost	-lahlekelwe; 
lot	nyenti; lizinga lemphilo; 
lottery	ilotho; 
love	tsandza; 
loved	tsandza; 
lovers	titsandzani; 
low	phasi; 
low-income	imali lengenako lencane; umholo lomcane; 
lower	ngaphasi; 
lowest	phasi kakhulu; 
lump	sigadla; 
machine	umshini; 
machinery	imishini; 
machines	imishini; 
macro-economic	umnotfo lomkhulu; 
macroeconomic	umnotfo lomkhulu; 
made	 -akhile; -enta; 
magazine	liphephabhuku; 
magazines	liphephabhuku;  emaphephabhuku; 
magisterial	kwemantji; 
magistrate	imantji; 
magistrate's	kwemantji; 
magistrates	bomantji; 
magnificent	kuhle kakhulu; 
magnitude	bukhulu; 
mail	 liposi; tfumela; 
main	lokukhulu; 
mainly	ikakhulu; 
mainstream	umkhakha lobanti; 
mainstreaming	kufaka emkhakheni lobanti; 
maintain	gcina; 
maintained	gcina; 
maintaining	-ondla; 
maintains	gcina; 
maintenance	 kugcinwa;  kunakekelwa; kunakekela; 
major	-khulu;  luhlu lolukhulu lwemanothi; 
majority	linyenti;  bukhulu ngemtsetfo;  linengi; 
make	 enta; luhlobo; 
makers	 labakhako; benti; 
makes	 -akha; tinhlobo; 
making	enta;  -akha; 
malaria	malaleveva; 
male	 -dvuna; lomdvuna; 
males	labadvuna; 
mall	imoli; 
man	indvodza; 
manage	phatsa; 
managed	 lawulile; phumelela; phatsa; 
management	 baphatsi; kuphatsa; 
manager	umphatsi; 
managers	baphatsi; 
manages	phumelela; phatsa; 
managing	phumelela; -kukhona; 
mandate	 ligunya lemandla; ligunya; 
mandated	-gunyatiwe; 
mandates	emagunya; 
mandatory	gunyatiwe; 
manifestations	kubonakalisa; 
manner	indlela; 
manual	-entiwa ngetandla;  incwadzi yekuchaza; 
manufacture	yenta; 
manufactured	yenta; khicita; 
manufacturing	kukhicita; 
manuscripts	 tincwadzi letisengakashicilelwa; emamanyuskripthi; 
many	-nyenti; 
map	libalave; 
mapping	 kwenta luklayo; kudvweba libalave; 
maps	emabalave; 
march	 masha;  shuca; umshuco; 
marched	 masha; imashi;  shuca; umshuco; 
margin	lusentse;  umphetfo; 
marginal	catjangwako; 
marginalised	bandlululwa; 
marginalized	bandlululwa; 
maritime	mayelana nekwaselandle; 
mark	luphawu;  umklomelo;  nika emamaki; 
marked	khonjiwe; 
market	 bahwebi; imakethe;  tsengisa; 
marketing	kutsengisa;  kuhweba; 
markets	timakethe;  timakethe; maketha;  tsengisa; 
marking	luphawu;  kuvala; 
marks	 emamaki;  imiklomelo; timphawu; beka timphawu; 
marriage	 kuteka; umshado; 
marriages	imishado; Imendvo;  imishado; 
married	Shadile;  -endzile; 
mass	 sicuku; sisindvo;  incumbi; 
massive	khulu kakhulu; 
master	umphatsi; 
master's	kwemphatsi; 
match	 fanana;  sipani; umdlalo;  kufanana;  umetjiso; 
matches	umetjiso; 
material	lutfo;  indvwangu; 
materially	ngekwentfo lephatsekako; 
materials	 tindvwangu; tintfo; 
maternal	phatselene neluhlangotsi lwekhabomake; 
mathematical	ngetibalo; 
mathematics	tibalo; 
matric	matikuletjeni; 
matrimonial	inkonzo yemshado; 
matter	lutfo;  bovu; 
matters	tindzaba;  tinkinga; 
maturity	 kuvutfwa; kukhula; 
maximise	kukhulisa;  yenta kube kukhulu; khulisa; 
maximum	bunyenti bekugcina;  -ngebunyenti bekugcina; 
may	Inkhwenkhweti; unga;  anga;  kunga; 
maybe	mhlawumbe; 
mayor	 sodolobha; imeya; 
mayors	baphatsimadolobha;  bosodolobha; 
me	mine; 
mean	-shokutsi; dzelela;  inombolomkhatsi; 
meaningful	kuneshokutsi; 
meaningfully	ngenshokutsi; 
meanings	tinshokutsini; 
means	kusho kutsi; 
meant	kusho kutsi;  kusho lokutsite; 
measure	 linganisa;  bungako; silinganiso; 
measured	kaliwe; 
measurement	silinganiso; 
measures	 linganisa;  bungako; tilinganiso; 
measuring	kukala; 
mechanical	 -mshini; -kwemshini; 
mechanism	kusebenta kwemshini;  kusebenta samshini; 
mechanisms	 kusebenta kwemshini; tindlela; 
media	betindzaba; 
mediation	sisombululo; sicatululo; 
medical	-kwelapha; 
medicine	umutsi; 
medicines	imitsi; 
medium	emathulusi; 
medium-term	ithemu lesemkhatsini; 
meet	hlangana; 
meeting	umhlangano; 
meetings	imihlangano; 
meets	hlangana; 
mega	lokukhulu; 
melting	ncibilika; kuncibilika; 
member	lilunga; 
member's	kwelilunga; 
members	emalunga; 
membership	bulunga; 
memorable	khumbulekako; 
memorandum	imemorandum; 
memorial	sikhumbuto; litje lesikhumbuto; 
memories	kukhumbula;  tinkhumbulo; 
memory	kukhumbula;  inkhumbulo; 
men	emadvodza; 
mental	 -kwenhloko;  -phatselene nengcondvo; ngenhloko;  -kwengcondvo; 
mentally	ngenhloko; ngekwengcondvo; 
mention	shano; 
mentioned	shiwo; shano; 
merchant	umhwebi; 
mere	 manje nje; kuphela; 
merely	 manje nje; kuphela; 
merger	kuhlanganiswa; 
merit	fanela; 
merits	kufanela; 
message	umbiko; 
messages	imibiko; 
messenger	sitfunywa; 
met	hlangene; 
metal	insimbi; 
metals	tinsimbi; 
method	indlela; 
methods	tindlelakwenta; tindlela; 
metro	khulu kakhulu; 
metropolitan	lidolobhakati; 
micro	ncane; 
middle	umkhatsi; 
midst	emkahstini; 
might	kungenteka; 
migration	kutfutsa; 
milestones	emagcatsi; 
military	 kwemphi; emasotja; 
milk	lubisi; 
millennium	umnyakankhulungwane; 
million	sigidzi; 
millions	tigidzi; 
mind	umcondvo;  ingcondvo; 
mindful	cabanga; 
minds	 tingcondvo; imicondvo; 
mine	gubha; 
mineral	lokumbiwa phansi emayini;  simbiwa; 
minerals	 lokumbiwa phansi emayini; timbiwa;  emaminerali; 
mines	 gubha; (i)mba; timayini; 
minimise	hlisa; nciphisa; 
minimum	buncane bekugcina; 
mining	tetimayini; 
minister	 indvuna yelitiko; umfundisi;  Ngcongcoshe; 
minister's	kwendvuna; 
ministerial	kwetindvuna; 
ministers	 tindvuna tematiko;  bafundisi; tindvuna; 
ministry	belitiko; 
minor	-semncane; 
minority	bumbalwa; 
minutes	emaminithi; 
misconduct	kutiphatsa kabi; 
misleading	kukhohlisa; 
missing	lokungekho; 
mission	umsebenti;  sibopho;  umsebenti lojutjiwe; 
missions	 imisebenti yekuhambisa livangeli; tibopho;  imisesebenti lelukhuni; 
mitigate	hlisa; nciphisa; 
mitigation	 kwehlisa; kunciphisa; 
mix	hlanganisa; 
mixed	hlanganisiwe; 
mobilisation	kugcogca; 
mobilise	nyakatisa; 
mobility	 hambako; kunyakata; 
model	sibonelo;  bumba;  siboniso; 
models	 imifanekiso;  kumodela; bakhangisimphahla; sibonelo; 
moderate	 likahle; lokwanele; 
modern	kwesimanje; 
modernisation	kwenta kube kwesmanje; 
modified	gucula; gucugucula; 
modify	gucula; 
moment	sikhashana; 
moments	tikhashana; 
momentum	emandla; umfutfo;  kukhula; 
monetary	imali; 
money	imali; 
moneys	timali; 
monies	timali; 
monitor	elusa; 
monitored	landzelela;  lusa; 
monitoring	landzelela;  kwelusa; 
monitors	emamonitha; elusa; 
month	inyanga; 
monthly	ngenyanga; 
months	tinyanga; 
monument	litje lesikhumbuto; 
monuments	ematje esikhumbuto; ematjesikhumbuto; 
moral	sifundvo; 
moreover	 ngetulu kwaloko; ikakhulu; 
morning	 kusa; ekuseni; 
mortality	bunyenti balabafako; kufa; 
mortgage	 sikwelti sendlu; kubanjiswa ngemphahla kute kukhokhwe sikweleti; 
most	linyenti; 
mostly	kakhulu; 
mother	make; 
mothers	bomake; 
motion	siphakamiso;  umnyakato; 
motions	tiphakamiso;  iminyakato; 
motivation	 kugcugcutela; kukhutsata; 
motto	sicubulo; 
mountain	intsaba; 
mountains	tintsaba; 
mounted	-sekelwe; 
mouth	umlomo; 
movable	hambisekako; hambako; 
move	 khweshisa; sinyatselo; 
moved	-sukile; khweshisile; 
movement	inhlangano;  umnyakato;  kuhamba; 
movements	tinhlangano;  imibutfo;  iminyakato; 
moves	tinyatselo; 
movie	lifilimu; 
moving	kughamba; 
much	kakhulu; 
multi-party	tinhlanganonyenti; 
multilateral	-mikhakhanyenti; 
multilingual	tilwiminyenti; 
multilingualism	bulwiminyenti; 
municipal	 kwelidolobha; masipala; 
municipalities	 bomasipalati; bomasipala; 
murals	lokwentiwe etibondzeni; 
murder	 kusontsa; kubulala; 
museum	umsamo;  imphalane; 
museums	imisamo; iminyuziyamu; 
music	umculo; 
musical	lifilimu lemculo; 
musician	umculi; 
musicians	baculi; 
must	fanele; 
mutandis	ngekuya kwetingucuko letifanele lesetentiwe; 
mutatis	ngekuya kwetingucuko letifanele lesetentiwe; 
mutual	bubili; 
mutually	bubili; 
my	kwami; 
myself	mine ngekwami; 
name	ligama;  yetsa; 
named	-shiwo; yetsa; 
namely	kutsiwa; lababo-; 
names	emagama; 
narrative	kulandzisa; 
narrow	kuncipha; 
natal	phatselene nekutalwa; 
nation	sive; 
nation-building	kwakha sive; 
national	-kwavelonkhe;  -sive; 
nationality	buve; 
nationally	ngekwavelonkhe; 
nationals	-sive;  bantfu bavelonkhe; 
nationhood	buve; kubumbana kwesive;  kuba munye kwesive; 
nations	tive; 
native	wemdzabu;  wekudzabuka; 
natural	 -mvelo; kwemvelo; 
nature	imvelo;  indalo; 
near	 dvutane; eceleni; 
nearest	dvutane kakhulu; 
nearly	cishe; 
necessarily	lokudzingekako; 
need	sidzingo;  dzinga; 
needed	tidzingo;  dzinga; 
needs	tidzingo;  dzinga; 
negative	 ngaphansi kwelicandza; kulandvula; 
negatively	ngalokungakhi; kabi; 
neglect	kunganaki;  yekelela; 
neglected	kunganaki;  yekelela; -nganaki; 
negligence	kuyekelela; 
negotiate	 bonisana; khulumisana; 
negotiated	 bonisana; khulumisana; 
negotiating	 bonisana; khulumisana; 
negotiation	tinkhulumo; 
negotiations	tinkhulumo tekubonisana; 
neighbouring	lokungumakhelwane; kwakhela; 
neither	hhayi; 
net	 linetha; imali lesele; 
networking	kuchumana; 
networks	 emanethiwekhi; Tinhleloluchumano; 
never	ngeke; 
nevertheless	nanoma kunjalo; 
new	lokusha; 
newly	kusha; 
news	tindzaba; 
newsletter	incwadzi yetindzaba; incwadzitindzaba; 
newsletters	tincwadzitindzaba; 
newspaper	liphephandzaba; 
newspapers	emaphephandzaba; 
newsroom	ligumbi letindzaba; 
next	-dvute; 
night	busuku; 
nine	imfica; 
no	cha; 
noble	kulunga;  kuba nesitfunti; 
nominal	 kwemabito; lokushiwo nje; 
nominated	khetsa; phakamisa; 
nomination	kwenyula; 
nominations	kukhetsa;  kuphakanyiswa; 
non	kute; 
non-compliance	kungahambisani; 
non-governmental	lokungesiko kwahulumende;  lokungekho ngaphasi kwahulumende; 
non-profit	akungenisi imali;  kute intalo; 
non-racial	kungabandlululi; 
non-racialism	kungahambisani nelubandlululo ngekwebuhlanga; 
non-refundable	akubuyiselwa imali; 
non-sexism	kungakhetsi ngebulili; 
non-sexist	kungakhetsi ngebulili; 
non-tax	kungakhokhiswa intsela; 
none	kute; 
nor	cha; 
norm	imihambo; 
normal	-sesimeni lesikahle; 
normally	ngalokwetayelekile;  ngalokuvamile; 
norms	 imihambo; tinchubo; 
north	ngasenyakatfo;  inyakatfo;  enyakatfo; 
northern	ngasenyakatfo; 
not	hhayi; 
notable	dvumile; 
notably	dvumile; 
note	 linothi;  caphela;  emanothi; bhala;  caphelisisa;  imali yeliphepha; 
noted	 timali temaphepha;  kwati;  yati;  emanothi; bhala;  caphelisisa; 
notes	emanotsi; 
nothing	lite; 
notice	bona;  kunaka;  satiso; 
notices	 tatiso; bona;  kunaka; 
notification	kwatisa; 
notified	kwatisa; 
notify	yatisa; 
noting	 caphelisisa;  yatisa; kubhala;  kucaphela;  kwenta emanothi; 
notion	umbono; 
notwithstanding	nanoma kunjalo; 
novel	inoveli; 
now	 manje nje; kuphela; 
nuclear	lokungekhatsi; 
null	 kuphelisiwe; kucedvwe emandla; 
number	 inamba;  sibalo; inombolo; 
numbers	tinombolo; 
numerous	nyenti;  -nyenti; 
nurse	 nesa;  umhlengikati; nesi; 
nurses	 nesa;  bahlengikati; emanesi; 
nursing	buhlengikati; 
nurture	 khulisa; nakekela; 
nurturing	kukhulisa;  kunakekela; 
nutrition	 kudla kudla lokunemsoco; kwekondla;  -kwekondla; 
oath	sifungo; 
object	 lutfo;  umentiwa; intfo;  phikisa; 
objection	kwala; 
objections	kwala; 
objective	inhloso;  -phatselene nendzikimba; 
objectives	-phatselene netindzikimba; tinhloso; 
objects	tintfo;  mentiwa;  phikisa; 
obligation	sibopho; 
obligations	tibopho; 
oblige	sibopho; 
obliged	 phocelelekile; bophelelekile; kubopheleleka; 
observatory	 kubukisisa; kunaka; 
observe	buka;  hlolisisa; 
observed	buka;  hlolisisa; 
obtain	tfola; 
obtained	tfola; 
obtaining	kutfola; 
obvious	-selubala; 
obviously	kusebaleni; 
occasion	 sehlakalo; umcimbi; 
occasions	tehlakalo;  imicimbi; 
occupation	 kutsatfwa; umsebenti;  kutfumba; 
occupational	umsebenti; 
occupied	hleli; hlala; 
occupy	tfumba; 
occur	kwentela; 
occurred	kwentekile; 
occurrence	sigameko; 
occurring	kwenteka; 
occurs	kwenta kube kwesmanje; 
ocean	lwandlekati; 
of	kwa-;  kwe-; 
off	onakele; kwa-; cedzela;  bolile;  kwe-; 
offence	licala; 
offences	emacala; 
offender	 lowente licala; lowonile; sephulamtsetfo; 
offenders	 labonile; tephulamtsetfo;  labente emacala; 
offer	lokunikwako; nikela; 
offered	nikiwe; nikela; 
offering	umnikelo; 
offerings	iminikelo; 
offers	nikela;  lokunikiwe; 
office	lihhovisi;  sikhundla; 
office-bearers	losesikhundleni; 
officer	sisebenti;  machuzu; 
officers	tisebenti;  bomachuzu; 
offices	tikhundla;  emahhovisi; 
official	sikhulu;  lonesikhundla;  kwembuso; 
officially	ngekwemtsetfo; 
officials	sisebenti;  tikhulu; 
offset	linganisa; 
offshore	kulamanye emave; 
often	vamile; 
old	-dzala; dzala; 
older	dzala kakhudlwana; -dzadla kakhudlwana; 
oldest	 -dzala kakhulu; dzala kakhulu; 
omission	lokweciwe; kweca; kushiya; 
omissions	lokweciwe; kushiya; 
on	ngetulu;  kusachubeka; 
on-going	 kuyachubeka; kuchubeka; 
once	kanye; 
once-off	kanye kuphela; 
one	kunye; 
ones	bokunye; 
ongoing	 kuyachubeka; kuchubeka; 
online	-phuma; 
only	kuphela; 
onto	kuko; 
open	vula; 
opened	vuliwe; vulile; 
opening	imbobo; 
opens	vula; 
operate	kuhlindza; 
operated	kuhlindza; 
operates	kuhlindza; 
operating	kuhlindza; 
operation	 kuhlindvwa;  kuhlindza;  kubala; umsebenti;  sento; 
operational	 kuyasebenta; kusebenta; 
operations	 kuhlindvwa;  kuhlindza;  kubala; imisebenti;  tento; 
operator	luphawu;  kwekuhambisa; kwekusebenta;  lohambisako;  losebentako; 
operators	 labahambisako; timphawu;  labasebentako; 
opinion	umbono; 
opinions	imibono; 
opportunities	ematfuba; 
opportunity	litfuba; 
oppose	phikisa; 
opposed	phikisa; 
opposite	lokuphikisako; 
opposition	 imbangi; kuphikisana;  emacembu laphikisako; 
oppressed	cindzetelekile; 
oppression	incindzetelo; 
oppressive	kucindzetela; 
optimal	lokusezingeni lelisetulu; 
optimism	kwetsemba; 
option	kukhetsa; 
options	kukhetsa; 
or	noma; 
oral	ngemlomo;  -kwemlomo; 
order	 umyalo;  oda; luhlelo;  li-oda;  kuhlela;  hlela;  kulandzelana; 
ordered	 yala;  oda; luhlelo;  li-oda;  kuhlela;  hlela;  kulandzelana; 
orders	 imiyalelo; tinhlelo; 
ordinance	 umtsetfo wamasipala; simiso; 
ordinarily	ngalokwetayelekile;  ngalokuvamile; 
ordinary	lokwetayelekile; 
organ	sitfo; 
organisation	inhlangano;  umbutsano; 
organisational	kwenhlangano; 
organisations	tinhlangano; 
organised	hlelekile; 
organisers	bahleli; 
organising	kuhlela; 
organization	inhlangano; 
organizations	tinhlangano; 
organized	 nhlelekile; hleliwe; 
organizers	bahleli; 
organs	titfo tekukhuluma; 
orientation	kucalisa; fundziswa; 
origin	 indzabuko; ekucaleni; 
original	kwendzabuko;  -ndzabuko; 
originally	ekucaleni; 
origins	tindzabuko; ekucaleni; 
other	lokunye; 
others	labanye; 
otherwise	 ngale kwaloko; ngaphadle kwaloko; 
ought	fanele; 
our	kwetfu; 
ours	kwetfu; 
ourselves	tsine ngekwetfu; 
out	ngaphandle;  phuma; 
outcome	umphumela; 
outcomes	imiphumela; 
outdoor	ngaphandle;  -ngaphandle; 
outgoing	loshiya sikhundla; 
outline	 bekisa; luhlaka;  umncele; 
outlined	 bekisa;  kubeka emabalengwe; kwenta umnyele; 
outlines	 bekisa; tihlaka; iminyele; 
outlook	kubukeka; 
output	umphumela; 
outputs	imiphumela; 
outreach	umsebenti wesihle; 
outside	ngaphandle;  lingaphandle;  lingephandle; 
outsourced	tsetfwe ngaphandle; 
outstanding	lokushodako; 
outward	ngaphandle; 
oval	-salicandza; 
over	ngetulu; 
overarching	lokubalulekile; 
overcome	ncoba; 
overcrowding	kugcwala; 
overseas	 ngesheya kwetilwandle; ngesheya; 
oversee	ngamela; 
overseeing	ngamela; 
oversight	ngamela; 
overview	sibutsetelo; 
overwhelming	ngamako; 
owed	kweletwa; 
owing	kweleta; 
own	kuba nentfo; 
owned	kuba kwalokutsite; 
owner	unini; umnikati; 
owners	banikati; 
ownership	bunikati; 
pace	sivinini; 
package	iphakheji; umgodla; 
packages	emaphakheji; imigodla; 
page	likhasi; 
pages	emakhasi; 
paid	liholo;  khokhela; holela; 
pain	buhlungu; 
painful	kwebuhlungu;  -buhlungu; 
painting	 sitfombe lesipendiwe; kupenda; 
paintings	imipendo; titfombe letipendiwe; 
palace	sigodlo; 
panel	sigungu;  iphanela; 
paper	liphepha;  inyusiphepha; 
papers	emaphepha;  emaphephandzaba; 
paragraph	 ipharagrafu; indzima; 
paragraphs	 emapharagrafu; tindzima; 
parameters	emapharamitha;  imikhawulo; imitsetfo; 
parent	umtali; 
parental	-kwebutali; 
parenting	kwenta umsebenti wekuba ngumtali; 
parents	batali; 
parks	Paka; emapaki;  emapaki;  tindzawo tekungcebeleka; 
parliament	iphalamende; 
parliament's	Kwephalamende; 
parliamentarian	lilunga lasephalamende; 
parliamentarians	emalunga asephalamende; 
parliamentary	kwemphalamende; 
parliaments	emaphalamende; 
parole	setsembiso sekukhululwa ejele ungabaleki; 
part	 sitfo senkhulumo; incenye; 
part-time	ngalesinye sikhatsi; 
partial	incenye;  nganhlanye; 
partially	incenye;  nganhlanye; 
participant	umhlanganyeli; 
participants	badlali; 
participate	bandzakanyeka;  hlanyanyela; 
participated	 hlanganyele; bandzakanyekile; nhlanganyele; 
participates	bahlanganyeli; 
participating	kuhlangayanyela ; kubandzakanyeka; 
participation	kubandzanyeka; kuhlanganyela; 
participatory	kubandzanyeka; kuhlanganyela; 
particularly	ikakhulu; 
particulars	imininingwane; 
parties	emacembu; 
partly	incenye; 
partner	umlingani;  umhlanganyeli;  sitsandvwa; 
partnered	 kusebentisana kwalababili; kuhlangana kwalababili; 
partners	 bahlanganyeli;  tingani; balingani; 
partnership	buhlanganyeli; 
partnerships	kusebentisana;  buhlanganyeli; 
parts	tincenye; 
party	licembu; 
pass	kuniketa;  kunika;  ndlulisa;  lipasi; 
passed	kuniketa;  kunika; phumelela;  endlula;  ndlulisa; 
passenger	umgibeli; 
passengers	bagibeli; 
passes	 phumelela;  –phasa; kuniketa;  kunika; phumelela;  ndlulisa; 
passing	kuphumelela;  kuphasa;  kwendlula; 
passport	iphasipoti; 
past	 -engcile; sikhatsi lesengca lesiphelele; 
path	indlela; 
patient	sigulane; 
patients	tigulane; 
patriotism	kutsandza live; kutsandza live lakho; 
pattern	iphethini; 
patterns	Imisiko;  emaphethini ; emaphethini; 
paved	kuvula indlela; 
pavilion	lithende lelikhulu; indzawo yetibukeli emidlalweni; 
pay	 bhadala; liholo; 
payable	sikhatsi sekukhokhela; khokheleka; 
paying	khokha;  bhadala; holela;  liholo; 
payment	imbadalo; 
payments	tinkhokhelo; 
pays	bhadala; holela; 
pdf	i-pdf; 
peace	kuthula; 
peaceful	kuthula; 
peak	sicongo; 
peer	ntsanga;  intsanga; 
penalties	 emlotseni; tijeziso; 
penalty	sijeziso;  emlotseni; 
pending	ngakaphetfwa; 
pension	umhlalaphansi; 
pensions	imihlalaphansi; 
people	bantfu; 
people's	kwebantfu; 
peoples	bantfu; 
perceived	tsafwa sengatsi; 
percent	liphesenti; 
percentages	emaphesenti; 
perception	catjangwako; 
perceptions	catjangangwako; 
perform	enta;  dlala; 
performance	 kujabulisa; kusebenta;  umdlalo; 
performances	 kujabulisa;  imidlalo; kusebenta; 
performed	 -enta; -dlalile; 
performer	umdlali; 
performers	badlali; 
performing	enta;  dlala; 
performs	enta;  dlala; 
perhaps	mhlawumbe; 
period	 sikhatsi lesibekiwe; sikhatsi; 
periodical	-sikhatsi ngesikhatsi; 
periods	tikhatsi; 
perjury	kufungela emanga; 
permanent	futsi; 
permanently	futsi; 
permission	imvume; 
permit	 vumela; imvume; 
permits	vumela;  timvume; 
permitted	vumela;  vuma; 
perpetuate	bhebhetsela; 
person	umuntfu;  lokhulunyiswako;  lokhulumako; 
person's	kwebantfu; 
personally	kutentela; ngekwami; 
personnel	tisebenti; 
persons	 lokukhulunywa ngabo; lokucondziswa kuye; bantfu; 
perspectives	imibono; 
pertaining	mayelana;  phatselene; 
petition	sikhalonyandzaleyo; 
petitions	 tikhaloticelo; ticelosikhalo; 
pharmaceutical	kudidiyelwa kwemitsi; 
pharmacy	likhemisi; 
phase	libanga; 
phased	ngenisa;  pheliswa; 
phases	tigaba; 
phenomenon	senteko; 
philosophy	ifilosofi; 
phone	lucingo; 
photo	sitfombe; 
photograph	sitfombe; 
photographers	umtfwebulititfombe; 
photographic	kwetitfombe; 
photographs	tfwebula titfombe; sitfombe; 
photography	kutfwebula titfombe; 
photos	titfombe; 
physical	 -ngekwemtimba; -kwenyama; 
physically	kwemtimba; 
piano	ipiyano; 
picture	 umfanekiso; sitfombe; 
pictures	titfombe;  umfanekiso; 
piece	lucetu; 
pieces	tincenye; 
pillar	insika; 
pillars	tinsika; 
pioneers	 ematilosi; emavulandlela; emadvulandlela; 
piracy	bugunyati; 
pivotal	phatselene nesihloko sekutungeletisa; 
place	indzawo; 
placed	bekiwe; 
placement	kufakwa endzaweni letsite; 
places	tindzawo; 
placing	beka; 
plain	-bonakalako;  litsafa; 
plains	 -bonakalako; ematsafa; 
plaintiff	ummangali; 
plaintiff's	ummangali;  ummangaleli; 
plan	 lungiselela;  ipulani;  ncuma; luhlelo;  licebo; 
planned	 lungiselela;  ncuma; hlela;  yenta licebo; 
planning	 kulungiselela; kuhlela; 
plans	 emalungiselelo;  emacebo; tinhlelo; 
plant	 sitfombo;  tisetjentiswa temboni; imboni;  hlanyela; 
plants	 tisetjentiswa temboni;  titfombo; titjalo;  hlanyela; 
plate	 ngcwengcwe; lucwecwe; 
platform	inkhundla;  siteshi sesitimela; 
platforms	tindludla;  titeshi tetitimela; tinkhundla; 
platinum	insimbi lemhlophe; iplatinamu; 
play	umdlalo; 
played	dlala; 
player	umdlali; 
players	badlali; 
playhouse	emadlwane;  indlu yekudlalela bantfwana; 
playhouses	tindlu tekudlalela bantfwana; 
playing	kudlala; 
plays	imidlalo; 
plea	sicelo; 
pleading	 kuncenga; kucela; 
pleadings	 kuncenga; kucela; 
please	 -cela; tsine; 
pleased	jabulile; 
pleasure	injabulo; 
pledge	sifungo; sitsembiso; 
pledged	tsembisile; fungile; 
plenary	kuhlanga kwabo bonkhe; 
plight	simo lesibucayi; inhlupheko; 
plus	hlanganisa; 
pm	entsambama; 
poaching	kutingela ngekweba; 
poem	 silandzelo; inkondlo; 
poet	sonkondlo; 
poetry	bunkondlo; 
poets	bosonkondlo;  timbongi; 
point	 khomba;  licashati; sihloko; 
pointed	 cija; khomba; cijile; 
points	 khomba; emacashati;  tihloko; emaphuzu; 
police	emaphoyisa; 
policies	tinchubomgomo;  tincubomgomo; imishwalensi; 
policing	buphoyisa; 
policy	inchubomgomo;  ipholisi;  incubomgomo; 
politics	 tembangave;  tembusave; ipolitiki; 
pollution	kungcoliseka; 
pool	sitiba; 
poor	buphuya; 
poorer	phuye kakhudlwana; 
poorest	phuye kakhulu; 
poorly	kabi; 
popular	-dvumile; 
population	linanibantfu; 
pornography	umbukiso wetitfombe letingcunu netemacasi; 
port	sikhumulo semikhumbi; 
portal	iphothali; 
portfolio	 ifayela; sikhundla; 
portion	incenye;  libinta; 
portrayed	fanekisa; 
ports	tikhumulo temikhumbi;  tikhumumulo temikhumbi; 
pose	kuma kwemtimba; 
posed	kuma ngandlela tsite;  kuma kwemtimba; 
position	indzawo;  sikhundla; 
positions	tindzawo;  tikhundla; 
positively	 ngekwetsemba; ngalokwakhako; 
possess	veta; 
possession	bunikati;  kuba nelibhola; 
possibilities	khonakala; 
possible	khoneka; 
possibly	khoneka; 
post	 tfumela;  liposi; sikhundla; 
post-apartheid	ngemuva kwelubandlululo; 
postal	 phatselene neliposi; 
postgraduate	lonesisicu sasenyuvesi; 
postponed	hlehlisiwe; 
postponement	kuhlehliswa; 
posts	 tfumela;  emaposi; tikhundla; 
pot	 libhodo; imbita; 
potential	kuba nemandla; 
potentially	ngalokunemandla; 
poverty	buphuya; 
power	emandla;  emandla ekuphatsa;  ligunya; 
powerful	-nemandla; 
powers	emadla; emandla;  emandla ekuphatsa;  emagunya; 
practicable	-nekwenteka; 
practice	 kutilolonga; kusebenta; 
practices	tayeta;  kutilolonga;  kutetayeta; kusebenta; 
practise	lolonga; 
practitioner	umsebenti loceceshiwe; 
practitioners	tisebenti; 
praise	bonga; 
prayer	umthandazo; 
pre-colonial	ngembi kwembuso wekugwamandza; 
pre-trial	ngembi kwekuvula umkhondvo; 
preamble	 sendvulelo; singeniso; 
precede	endvulela; 
preceded	-endvulela; 
preceding	kwendvulela; 
precinct	libala;  ligceke; 
precincts	 emabala; emagceke; 
precious	ligugu; 
prefer	-khetsa; 
preference	kukhetsa; lokutandvwa kakhulu; 
preferential	lokutsandvwa kakhulu; 
preferred	lokutsandvwa kakhulu;  -khetsa; 
pregnancy	kutetfwala; 
pregnant	khulelwe; 
prejudice	 kuncuma kucala; sigwebonchanti; 
premier	ndvunankhulu; 
